,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,22,1953,BRO,28,1893,5373,6138,1529,988,274,59,208,955,887,655,,686,35,,75,115,90,47,0.285,,,,,,,,,,,0.107,0.11199999999999999,0.95,0.366,0.474,0.84,0.189,0.295,,,,,,,,,0.379,205.3,940,123.1,49.0,187.1,31.8,404.2,40.4,,5.4,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.8,3.9,,20 - 38,127.0,9.2,,,,,,,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,115,111,106,111,123,103,,,,,,,,,,,,,,,,,,0,,,,,,40.4
1,9,1953,NYY,29,1929,5194,5960,1420,1003,226,52,139,801,762,655,,643,34,,77,105,34,44,0.273,,,,,,,,,,,0.11,0.10800000000000001,1.02,0.358,0.417,0.776,0.144,0.29,,,,,,,,,0.355,90.3,804,108.8,0.0,181.7,36.9,340.9,34.1,,3.9,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,-6.0,,21 - 40,102.8,19.5,,,,,,,,0.24100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,113,115,104,105,113,102,,,,,,,,,,,,,,,,,,0,,,,,,34.1
2,28,1953,STL,29,2003,5397,6065,1474,997,281,56,140,768,722,574,,617,39,,55,141,18,22,0.273,,,,,,,,,,,0.095,0.102,0.93,0.347,0.424,0.771,0.151,0.288,,,,,,,,,0.351,71.2,798,-8.7,5.0,184.9,37.6,227.7,22.8,,3.7,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,-0.2,,18 - 39,-9.0,9.1,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,102,101,100,99,98,101,,,,,,,,,,,,,,,,,,0,,,,,,22.8
3,5,1953,CLE,29,1895,5285,6018,1426,1036,201,29,160,770,730,608,,682,35,,90,125,33,29,0.27,,,,,,,,,,,0.10099999999999999,0.113,0.89,0.349,0.41,0.759,0.14,0.285,,,,,,,,,0.348,54.5,775,59.5,0.0,183.5,35.8,298.5,29.9,,3.5,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,0.1,,22 - 37,59.6,19.7,,,,,,,,0.24100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,104,121,101,103,110,100,,,,,,,,,,,,,,,,,,0,,,,,,29.9
4,30,1953,NYG,29,1937,5362,5956,1452,1036,195,45,176,768,739,499,,608,28,,67,129,31,21,0.271,,,,,,,,,,,0.084,0.102,0.82,0.336,0.422,0.758,0.152,0.279,,,,,,,,,0.345,37.8,751,-36.1,-5.0,181.6,36.6,188.6,18.9,,3.9,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,2.6,,24 - 37,-33.5,8.9,,,,,,,,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,90,101,97,99,99,98,,,,,,,,,,,,,,,,,,0,,,,,,18.9
5,16,1953,MIL,27,1844,5349,5895,1422,987,227,52,156,738,691,439,,637,27,,80,122,46,27,0.266,,,,,,,,,,,0.07400000000000001,0.10800000000000001,0.69,0.325,0.415,0.74,0.149,0.278,,,,,,,,,0.336,-5.1,701,-25.6,10.0,179.7,32.7,208.5,20.8,,4.5,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,2.7,,17 - 38,-22.8,8.8,,,,,,,,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,80,107,94,97,97,97,,,,,,,,,,,,,,,,,,0,,,,,,20.8
6,26,1953,PHI,28,1790,5290,5916,1400,995,228,62,115,716,657,530,,597,29,,67,109,42,21,0.265,,,,,,,,,,,0.09,0.10099999999999999,0.89,0.335,0.396,0.731,0.132,0.281,,,,,,,,,0.335,-6.9,702,-67.9,44.0,180.4,35.7,205.8,20.6,,4.6,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7,4.8,,19 - 38,-63.1,8.9,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,97,100,97,93,86,98,,,,,,,,,,,,,,,,,,0,,,,,,20.6
7,18,1953,CIN,27,1862,5343,5912,1396,1006,190,34,166,714,669,485,,701,16,,68,113,25,20,0.261,,,,,,,,,,,0.08199999999999999,0.11900000000000001,0.69,0.325,0.403,0.727,0.141,0.275,,,,,,,,,0.331,-23.8,684,-112.5,40.0,180.3,33.5,151.8,15.2,,3.4,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5,1.7,,22 - 35,-110.9,8.9,,,,,,,,0.22899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,89,117,94,94,92,96,,,,,,,,,,,,,,,,,,0,,,,,,15.2
8,17,1953,CHC,29,1946,5272,5873,1372,974,204,57,137,633,588,514,,746,14,,73,140,49,21,0.26,,,,,,,,,,,0.08800000000000001,0.127,0.69,0.328,0.399,0.726,0.138,0.281,,,,,,,,,0.331,-23.4,680,-108.3,-55.0,179.1,32.9,63.6,6.4,,4.5,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.1,6.0,,22 - 44,-102.2,8.8,,,,,,,,0.23800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,94,126,95,93,90,99,,,,,,,,,,,,,,,,,,0,,,,,,6.4
9,8,1953,WAS,28,1699,5149,5857,1354,1002,230,53,69,687,644,595,,604,31,,82,134,65,36,0.263,,,,,,,,,,,0.102,0.10300000000000001,0.99,0.343,0.368,0.711,0.105,0.287,,,,,,,,,0.33,-30.1,671,-30.6,0.0,178.6,36.8,207.2,20.7,,4.6,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,3.4,,22 - 41,-27.3,19.2,,,,,,,,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,104,110,99,93,83,101,,,,,,,,,,,,,,,,,,0,,,,,,20.7
