,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,1168,1928,SLS,27,738,2564,2769,814,516,145,56,97,509,454,180,,,25,,87,,51,,0.317,,,,,,,,,,,0.065,,,0.368,0.531,0.899,0.214,,,,,,,,,,0.404,136.6,486,141.9,10.0,87.8,11.6,268.0,25.9,,6.8,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,6.5,,20 - 44,148.4,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,97,,108,135,192,,,,,,,,,,,,,,,,,,,0,,,,,,25.9
1,1103,1928,NLG,31,295,988,1092,296,199,59,10,28,187,183,96,,,8,,39,,32,,0.3,,,,,,,,,,,0.08800000000000001,,,0.366,0.465,0.831,0.165,,,,,,,,,,0.38,33.0,171,15.9,-21.0,34.6,4.5,44.7,4.2,,5.7,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.5,4.9,,19 - 44,20.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,107,,102,110,130,,,,,,,,,,,,,,,,,,,0,,,,,,4.2
2,9,1928,NYY,29,1774,5337,6067,1576,1097,267,79,133,894,817,562,,553.0,23,,145,,50,52.0,0.295,,,,,,,,,,,0.09300000000000001,0.091,1.02,0.365,0.45,0.815,0.154,0.31,,,,,,,,,0.374,150.1,917,130.6,-16.0,192.4,36.0,362.3,34.9,,5.0,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,-21.4,,21 - 38,109.3,40.7,,,,,,,,0.20600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,111,139.0,103,110,127,102.0,,,,,,,,,,,,,,,,,,0,,,,,,34.9
3,10,1928,PHA,30,1701,5241,6003,1541,1051,326,75,89,828,760,529,,435.0,37,,196,,61,54.0,0.294,,,,,,,,,,,0.08800000000000001,0.07200000000000001,1.22,0.363,0.436,0.799,0.142,0.308,,,,,,,,,0.368,120.9,879,55.6,11.0,190.3,30.0,307.6,29.7,,5.1,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,-19.7,,20 - 44,35.9,40.2,,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,105,110.0,103,106,117,102.0,,,,,,,,,,,,,,,,,,0,,,,,,29.7
4,1098,1928,BBS,29,589,1957,2168,569,389,113,25,42,330,301,196,,,15,,76,,65,,0.291,,,,,,,,,,,0.09,,,0.36,0.438,0.798,0.148,,,,,,,,,,0.367,43.4,317,9.4,20.0,68.7,8.5,128.1,12.4,,6.0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,9.9,,22 - 39,19.3,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,111,,100,103,117,,,,,,,,,,,,,,,,,,,0,,,,,,12.4
5,27,1928,PIT,28,1664,5371,6037,1659,1261,246,100,52,837,768,435,,352.0,29,,202,,64,,0.309,,,,,,,,,,,0.07200000000000001,0.057999999999999996,1.24,0.364,0.421,0.785,0.112,0.324,,,,,,,,,0.363,97.8,861,14.2,0.0,191.4,33.7,256.2,24.7,,5.6,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,4.0,,20 - 37,18.2,12.9,,,,,,,,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,86,95.0,103,102,92,108.0,,,,,,,,,,,,,,,,,,0,,,,,,24.7
6,28,1928,STL,29,1725,5357,6144,1505,1030,292,70,113,807,749,568,,438.0,32,,187,,82,,0.281,,,,,,,,,,,0.092,0.071,1.3,0.353,0.425,0.778,0.144,0.29,,,,,,,,,0.359,81.9,858,11.6,17.0,194.8,34.3,278.9,27.0,,5.1,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3,8.1,,22 - 41,19.7,13.1,,,,,,,,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,110,116.0,100,103,118,97.0,,,,,,,,,,,,,,,,,,0,,,,,,27.0
7,30,1928,NYG,28,1771,5459,6103,1600,1147,276,59,118,807,758,444,,376.0,27,,173,,62,,0.293,,,,,,,,,,,0.073,0.062,1.18,0.349,0.43,0.779,0.137,0.298,,,,,,,,,0.358,76.1,847,26.2,50.0,193.5,30.4,317.3,30.8,,4.7,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.4,4.1,,19 - 36,30.4,13.0,,,,,,,,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,87,100.0,98,104,112,100.0,,,,,,,,,,,,,,,,,,0,,,,,,30.8
8,1097,1928,AC,29,527,1821,1999,550,434,69,26,21,315,280,165,,,13,,54,,44,,0.302,,,,,,,,,,,0.083,,,0.364,0.403,0.767,0.101,,,,,,,,,,0.357,23.9,276,-7.4,-4.0,63.4,4.1,72.4,7.0,,5.8,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.7,,20 - 36,-1.8,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,101,,101,95,80,,,,,,,,,,,,,,,,,,,0,,,,,,7.0
9,1161,1928,DS,30,780,2716,2974,780,559,124,37,60,479,432,233,,,25,,67,,49,,0.287,,,,,,,,,,,0.078,,,0.349,0.426,0.775,0.139,,,,,,,,,,0.357,34.8,411,40.5,19.0,94.3,12.9,183.3,17.8,,5.8,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,5.6,,22 - 39,46.2,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,117,,103,108,125,,,,,,,,,,,,,,,,,,,0,,,,,,17.8
