,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,1140,1946,NE,27,652,2136,2369,628,460,94,34,40,410,369,223,2.0,,10,,45,,39,,0.294,,,,,,,,,,,0.094,,,0.363,0.426,0.789,0.132,,,,,,,,,,0.372,75.0,334,49.7,-12.0,68.3,6.9,137.1,14.7,,6.1,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.1,5.5,,19 - 48,55.2,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,99,,105,114,134,,,,,,,,,,,,,,,,,,,0,,,,,,14.7
1,3,1946,BOS,30,1753,5318,6126,1441,1014,268,50,109,792,737,687,,661.0,15,,106,133.0,45,36.0,0.271,,,,,,,,,,,0.11199999999999999,0.10800000000000001,1.04,0.356,0.402,0.758,0.131,0.293,,,,,,,,,0.36,136.6,807,62.4,25.0,176.6,32.5,320.7,34.1,,4.2,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,-10.8,,24 - 43,51.6,35.0,,,,,,,,0.23800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,116,110.0,105,106,113,103.0,,,,,,,,,,,,,,,,,,0,,,,,,34.1
2,1137,1946,HG,30,634,2029,2249,570,432,76,29,33,334,309,215,3.0,,5,,38,,43,,0.281,,,,,,,,,,,0.096,,,0.351,0.396,0.747,0.115,,,,,,,,,,0.354,41.7,288,17.7,16.0,64.8,3.8,126.5,13.4,,5.6,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,6.4,,20 - 43,24.1,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,101,,101,106,117,,,,,,,,,,,,,,,,,,,0,,,,,,13.4
3,9,1946,NYY,29,1738,5139,5878,1275,881,208,50,136,684,649,626,,705.0,33,,80,106.0,48,35.0,0.248,,,,,,,,,,,0.106,0.12,0.89,0.334,0.387,0.721,0.139,0.265,,,,,,,,,0.344,58.4,701,0.8,48.0,169.5,31.8,274.4,29.0,,4.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8,-9.2,,21 - 41,-8.4,33.6,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,110,122.0,99,102,121,94.0,,,,,,,,,,,,,,,,,,0,,,,,,29.0
4,22,1946,BRO,28,2058,5285,6136,1376,1022,233,66,55,701,642,693,,575.0,17,,141,103.0,100,,0.26,,,,,,,,,,,0.113,0.094,1.21,0.348,0.361,0.709,0.1,0.284,,,,,,,,,0.341,48.0,719,3.9,11.0,176.9,28.2,240.1,25.6,,5.0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,14.2,,19 - 40,18.1,5.9,,,,,,,,0.21600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,117,112.0,103,98,96,102.0,,,,,,,,,,,,,,,,,,0,,,,,,25.6
5,1118,1946,CBE,28,208,656,721,185,144,30,8,3,106,89,57,,,8,,12,,18,,0.282,,,,,,,,,,,0.079,,,0.347,0.366,0.713,0.084,,,,,,,,,,0.341,6.1,85,8.0,-9.0,20.8,3.6,32.5,3.5,,5.8,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4,2.9,,18 - 39,10.9,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,96,,104,106,107,,,,,,,,,,,,,,,,,,,0,,,,,,3.5
6,6,1946,DET,30,1721,5318,6059,1373,1012,212,41,108,704,644,624,,616.0,13,,104,125.0,65,41.0,0.258,,,,,,,,,,,0.10300000000000001,0.102,1.01,0.338,0.374,0.712,0.116,0.275,,,,,,,,,0.34,46.6,709,-25.3,7.0,174.7,35.6,218.0,23.2,,4.2,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,-8.5,,18 - 40,-33.8,34.6,,,,,,,,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,107,103.0,100,99,101,97.0,,,,,,,,,,,,,,,,,,0,,,,,,23.2
7,28,1946,STL,28,1865,5372,6020,1426,1024,265,56,81,712,665,530,,537.0,21,,97,95.0,58,,0.265,,,,,,,,,,,0.08800000000000001,0.08900000000000001,0.99,0.334,0.381,0.715,0.115,0.283,,,,,,,,,0.34,44.6,703,8.3,17.0,173.6,30.6,241.5,25.7,,4.5,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,6.3,,20 - 34,14.5,5.8,,,,,,,,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,91,107.0,99,104,110,102.0,,,,,,,,,,,,,,,,,,0,,,,,,25.7
8,30,1946,NYG,29,1931,5191,5834,1326,992,176,37,121,612,576,530,,546.0,27,,86,121.0,46,,0.255,,,,,,,,,,,0.091,0.094,0.97,0.328,0.374,0.701,0.118,0.266,,,,,,,,,0.334,20.8,659,-26.1,2.0,168.2,26.2,179.9,19.2,,3.8,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,4.0,,20 - 39,-22.1,5.6,,,,,,,,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,94,112.0,97,102,113,96.0,,,,,,,,,,,,,,,,,,0,,,,,,19.2
9,1124,1946,KCM,30,410,1287,1420,346,271,42,22,11,198,157,126,,,7,,23,,25,,0.269,,,,,,,,,,,0.08900000000000001,,,0.337,0.361,0.699,0.092,,,,,,,,,,0.334,5.0,160,8.7,27.0,40.9,5.0,97.5,10.2,,5.8,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,3.6,,20 - 39,12.3,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,108,,101,105,118,,,,,,,,,,,,,,,,,,,0,,,,,,10.2
