,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,3,1989,BOS,29,1702,5666,6455,1571,1107,326,30,108,774,716,643,57,755,36,58,52,169,56,35,0.277,,,,,,,,,,,0.1,0.11699999999999999,0.85,0.351,0.403,0.754,0.125,0.301,,,,,,,,,0.34,129.1,831,68.9,0.0,183.9,-19.8,253.1,27.4,,3.8,109,0.34,-113.96,114.3,29.77,2.7,1.02,1.66,91,2.6,-2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.8,-5.4,,23 - 37,63.5,25.4,,,,,,,,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,118,82,108,105,102,104,,,,,,,,,,,,,,,,,,0,,,,,,27.4
1,8,1989,MIN,28,1881,5581,6207,1542,1112,278,35,117,740,691,478,40,743,39,58,51,126,111,53,0.276,,,,,,,,,,,0.077,0.12,0.64,0.334,0.402,0.736,0.125,0.298,,,,,,,,,0.331,82.9,758,27.0,-21.0,176.9,-23.0,183.3,20.0,,4.6,104,0.99,-107.11,108.11,7.78,0.64,0.99,1.4,158,0.01,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44.0,-1.0,,22 - 39,26.0,24.4,,,,,,,,0.21600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,91,84,103,105,102,103,,,,,,,,,,,,,,,,,,0,,,,,,20.0
2,9,1989,NYY,28,1733,5458,6096,1470,1088,229,23,130,698,657,502,48,831,27,49,58,130,137,60,0.269,,,,,,,,,,,0.08199999999999999,0.136,0.6,0.331,0.391,0.722,0.122,0.295,,,,,,,,,0.326,56.4,719,27.6,24.0,173.7,-24.0,226.9,24.4,,4.4,104,0.34,-108.14,108.48,-33.0,-3.47,1.01,1.59,132,-2.21,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.5,,21 - 35,29.2,24.0,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,98,96,102,102,99,102,,,,,,,,,,,,,,,,,,0,,,,,,24.4
3,13,1989,TEX,27,1841,5458,6099,1433,1005,260,46,122,695,654,503,28,989,34,40,63,151,101,49,0.263,,,,,,,,,,,0.08199999999999999,0.162,0.51,0.326,0.394,0.721,0.132,0.299,,,,,,,,,0.326,55.2,719,14.0,2.0,173.8,-23.5,188.9,20.5,,4.9,102,3.59,-104.34,107.93,-7.62,-0.92,0.98,1.45,167,1.51,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5,-1.3,,19 - 38,12.7,24.0,,,,,,,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,98,114,100,103,107,104,,,,,,,,,,,,,,,,,,0,,,,,,20.5
4,14,1989,TOR,28,1722,5581,6216,1449,1002,265,40,142,731,685,521,32,923,31,53,30,124,144,58,0.26,,,,,,,,,,,0.084,0.14800000000000002,0.56,0.323,0.398,0.721,0.138,0.286,,,,,,,,,0.325,55.0,731,16.4,7.0,177.1,-25.7,203.1,21.9,,5.1,102,5.4,-109.65,115.05,61.82,6.52,1.03,1.69,85,3.32,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.7,3.8,,20 - 37,20.2,24.5,,,,,,,,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99,104,99,104,112,99,,,,,,,,,,,,,,,,,,0,,,,,,21.9
5,10,1989,OAK,28,1751,5416,6110,1414,1042,220,25,127,712,659,562,37,855,34,62,36,163,157,55,0.261,,,,,,,,,,,0.092,0.14,0.66,0.331,0.381,0.712,0.12,0.286,,,,,,,,,0.323,42.6,707,50.1,18.0,174.1,-19.4,254.2,27.4,,4.7,107,7.83,-101.72,109.55,43.71,4.94,0.97,1.33,114,4.17,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,7.4,,23 - 38,57.5,24.0,,,,,,,,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,109,98,102,99,98,99,,,,,,,,,,,,,,,,,,0,,,,,,27.4
6,4,1989,CHW,27,1685,5504,6132,1493,1101,262,36,94,693,661,464,51,873,28,51,85,113,97,52,0.271,,,,,,,,,,,0.076,0.142,0.53,0.328,0.383,0.711,0.112,0.305,,,,,,,,,0.32,31.4,698,-3.0,-29.0,174.7,-20.5,143.0,15.7,,4.4,100,-1.03,-108.07,107.04,17.55,1.79,1.03,1.57,95,-0.98,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.5,-3.3,,20 - 41,-6.4,24.1,,,,,,,,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,90,100,101,100,91,106,,,,,,,,,,,,,,,,,,0,,,,,,15.7
7,2,1989,BAL,27,1725,5440,6173,1369,969,238,33,129,708,659,593,44,957,30,47,63,140,118,55,0.252,,,,,,,,,,,0.096,0.155,0.62,0.326,0.379,0.705,0.127,0.282,,,,,,,,,0.319,26.2,698,7.2,19.0,175.9,-22.6,203.5,21.9,,4.6,101,2.77,-102.39,105.16,25.63,2.46,0.97,1.65,112,1.63,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6,-0.3,,21 - 35,6.9,24.3,,,,,,,,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,114,109,100,99,103,98,,,,,,,,,,,,,,,,,,0,,,,,,21.9
8,7,1989,KCR,29,1876,5475,6151,1428,1059,227,41,101,690,653,554,50,897,29,50,42,141,154,51,0.261,,,,,,,,,,,0.09,0.146,0.62,0.329,0.373,0.702,0.112,0.293,,,,,,,,,0.318,20.1,689,-12.0,-37.0,175.3,-19.4,139.4,15.4,,5.2,98,6.24,-105.33,111.57,29.5,3.27,1.03,1.8,116,1.61,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.4,8.3,,22 - 41,-3.7,24.2,,,,,,,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,107,102,101,97,91,102,,,,,,,,,,,,,,,,,,0,,,,,,15.4
9,11,1989,SEA,26,1724,5512,6134,1417,1017,237,29,134,694,653,489,40,838,45,52,35,109,81,55,0.257,,,,,,,,,,,0.08,0.13699999999999998,0.58,0.32,0.384,0.703,0.126,0.279,,,,,,,,,0.318,19.0,686,-30.6,5.0,174.8,-18.7,147.0,15.9,,4.1,96,-3.17,-108.1,104.93,-19.81,-1.8,1.0,1.51,132,-1.3,-1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.7,-7.6,,19 - 33,-38.2,24.1,,,,,,,,0.23800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,94,96,98,100,103,97,,,,,,,,,,,,,,,,,,0,,,,,,15.9
