,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,18,1959,CIN,28,1946,5288,5922,1448,995,258,34,161,764,721,499,43,763,32,50,53,121,65,28,0.274,,,,,,,,,,,0.084,0.129,0.65,0.337,0.427,0.764,0.153,0.292,,,,,,,,,0.338,85.8,764,-6.0,-9.0,174.8,35.8,228.2,23.7,,4.3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,3.8,,19 - 42,-2.1,28.7,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,96,106,100,102,103,102,,,,,,,,,,,,,,,,,,0,,,,,,23.7
1,6,1959,DET,28,1900,5211,5948,1346,960,196,30,160,713,667,580,31,735,44,40,73,101,34,17,0.258,,,,,,,,,,,0.098,0.124,0.79,0.335,0.4,0.735,0.141,0.272,,,,,,,,,0.329,44.1,726,-6.0,13.0,175.6,34.7,212.9,22.1,,3.6,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,2.2,,23 - 36,-3.8,-6.5,,,,,,,,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,106,106,101,100,103,99,,,,,,,,,,,,,,,,,,0,,,,,,22.1
2,16,1959,MIL,30,1939,5388,6010,1426,997,216,36,177,724,683,488,64,765,27,43,64,130,41,14,0.265,,,,,,,,,,,0.081,0.127,0.64,0.326,0.417,0.743,0.152,0.278,,,,,,,,,0.327,40.5,729,34.0,-21.0,177.4,35.5,259.7,27.0,,4.1,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,4.6,,22 - 43,38.6,29.1,,,,,,,,0.23800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,93,105,97,100,103,97,,,,,,,,,,,,,,,,,,0,,,,,,27.0
3,28,1959,STL,27,2145,5317,5907,1432,1021,244,49,118,641,605,485,49,747,19,26,60,108,65,53,0.269,,,,,,,,,,,0.08199999999999999,0.126,0.65,0.331,0.4,0.731,0.131,0.293,,,,,,,,,0.325,25.4,702,-78.2,-29.0,174.4,32.9,122.4,12.8,,4.2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,-6.2,,17 - 38,-84.5,28.6,,,,,,,,0.22899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,94,104,99,96,89,103,,,,,,,,,,,,,,,,,,0,,,,,,12.8
4,30,1959,SFG,27,1946,5281,5890,1377,936,239,35,167,705,660,473,57,875,25,38,73,96,81,34,0.261,,,,,,,,,,,0.08,0.149,0.54,0.322,0.414,0.736,0.153,0.283,,,,,,,,,0.325,22.3,697,-29.9,12.0,173.9,34.5,223.5,23.2,,4.6,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,4.5,,20 - 42,-25.5,28.5,,,,,,,,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,92,122,96,99,104,99,,,,,,,,,,,,,,,,,,0,,,,,,23.2
5,22,1959,LAD,28,2017,5282,6033,1360,970,196,46,148,705,667,591,61,891,28,32,100,115,84,51,0.257,,,,,,,,,,,0.098,0.14800000000000002,0.66,0.334,0.396,0.73,0.139,0.284,,,,,,,,,0.325,26.3,718,-74.4,0.0,178.1,35.8,167.1,17.4,,4.6,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,-1.6,,20 - 37,-76.0,29.2,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,112,121,99,95,94,99,,,,,,,,,,,,,,,,,,0,,,,,,17.4
6,5,1959,CLE,28,1849,5288,5860,1390,982,216,25,167,745,682,433,25,721,39,40,60,119,33,36,0.263,,,,,,,,,,,0.07400000000000001,0.12300000000000001,0.6,0.321,0.408,0.729,0.145,0.275,,,,,,,,,0.324,23.0,694,5.3,60.0,173.0,35.5,261.5,26.9,,3.4,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5,-5.9,,21 - 38,-0.6,-6.4,,,,,,,,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,80,106,97,103,106,100,,,,,,,,,,,,,,,,,,0,,,,,,26.9
7,3,1959,BOS,28,2012,5225,5985,1335,934,248,28,125,726,678,626,31,810,23,46,65,120,68,25,0.256,,,,,,,,,,,0.105,0.135,0.77,0.335,0.385,0.721,0.13,0.279,,,,,,,,,0.324,19.4,705,-49.4,18.0,176.7,34.2,178.7,18.5,,4.3,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2,5.7,,22 - 40,-43.6,-6.5,,,,,,,,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,114,116,101,97,95,102,,,,,,,,,,,,,,,,,,0,,,,,,18.5
8,9,1959,NYY,28,1955,5379,5980,1397,980,224,40,153,687,651,457,37,828,30,38,76,101,45,22,0.26,,,,,,,,,,,0.076,0.138,0.55,0.319,0.402,0.721,0.142,0.28,,,,,,,,,0.32,2.2,687,6.8,21.0,176.6,35.5,235.4,24.4,,4.1,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,2.2,,22 - 43,8.9,-6.5,,,,,,,,0.24100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,83,119,96,101,103,102,,,,,,,,,,,,,,,,,,0,,,,,,24.4
9,10,1959,KCA,28,1942,5264,5885,1383,992,231,43,117,681,637,481,32,780,33,38,69,124,34,24,0.263,,,,,,,,,,,0.08199999999999999,0.133,0.62,0.326,0.39,0.716,0.127,0.287,,,,,,,,,0.32,1.1,675,-49.2,-25.0,173.7,33.2,125.6,13.1,,3.9,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,-0.8,,19 - 42,-49.9,-6.4,,,,,,,,0.23399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,89,114,98,98,92,105,,,,,,,,,,,,,,,,,,0,,,,,,13.1
