,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,22,1951,BRO,28,1928,5492,6214,1511,1041,249,37,184,855,794,603,,649,44,,75,147,89,70,0.275,,,,,,,,,,,0.09699999999999999,0.10400000000000001,0.93,0.352,0.434,0.786,0.159,0.285,,,,,,,,,0.362,121.0,850,67.3,42.0,185.3,29.1,340.4,34.5,,4.3,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1,-6.1,,20 - 36,61.2,22.8,,,,,,,,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,102,117,103,107,116,103,,,,,,,,,,,,,,,,,,0,,,,,,34.5
1,30,1951,NYG,28,1824,5360,6153,1396,963,201,53,179,781,734,671,,624,40,,82,116,55,34,0.26,,,,,,,,,,,0.109,0.10099999999999999,1.08,0.347,0.418,0.765,0.157,0.267,,,,,,,,,0.354,80.1,802,36.4,32.0,183.5,31.3,307.7,31.2,,4.4,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,1.9,,20 - 34,38.3,22.6,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,115,114,102,103,114,97,,,,,,,,,,,,,,,,,,0,,,,,,31.2
2,9,1951,NYY,29,1886,5194,5924,1395,999,208,48,140,798,741,602,,545,37,,91,138,78,39,0.269,,,,,,,,,,,0.102,0.092,1.1,0.349,0.408,0.757,0.139,0.278,,,,,,,,,0.351,66.8,762,61.6,28.0,176.6,23.5,306.9,31.1,,4.9,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,4.3,,19 - 38,65.9,12.9,,,,,,,,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,97,107,100,104,112,100,,,,,,,,,,,,,,,,,,0,,,,,,31.1
3,3,1951,BOS,28,1826,5378,6211,1428,1036,233,32,127,804,757,756,,594,18,,59,169,20,21,0.266,,,,,,,,,,,0.122,0.096,1.27,0.358,0.392,0.75,0.126,0.279,,,,,,,,,0.351,70.1,799,-31.2,2.0,185.2,32.4,202.5,20.6,,3.2,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,0.7,,20 - 38,-30.5,13.5,,,,,,,,0.23800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,116,111,103,100,101,100,,,,,,,,,,,,,,,,,,0,,,,,,20.6
4,10,1951,PHA,30,1766,5277,6049,1381,974,262,43,102,736,685,677,,564,34,,61,118,47,36,0.262,,,,,,,,,,,0.11199999999999999,0.09300000000000001,1.2,0.349,0.386,0.735,0.124,0.277,,,,,,,,,0.344,34.0,744,-23.6,18.0,180.4,30.2,217.6,22.1,,4.0,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,-0.5,,24 - 40,-24.1,13.2,,,,,,,,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,107,108,100,98,99,99,,,,,,,,,,,,,,,,,,0,,,,,,22.1
5,4,1951,CHW,29,1899,5378,6126,1453,1074,229,64,86,714,668,594,,525,51,,103,121,99,70,0.27,,,,,,,,,,,0.09699999999999999,0.086,1.13,0.348,0.385,0.733,0.114,0.287,,,,,,,,,0.343,25.4,744,-6.0,23.0,182.7,27.8,236.8,24.0,,5.0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,-4.0,,22 - 37,-10.0,13.3,,,,,,,,0.19699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,92,99,100,98,92,103,,,,,,,,,,,,,,,,,,0,,,,,,24.0
6,16,1951,BSN,29,1838,5293,5968,1385,984,234,37,130,723,683,565,,617,31,,79,139,80,34,0.262,,,,,,,,,,,0.095,0.10300000000000001,0.92,0.336,0.394,0.73,0.132,0.276,,,,,,,,,0.339,9.4,710,-1.2,-35.0,178.0,29.7,200.0,20.4,,4.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3,6.6,,20 - 39,5.4,21.9,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,99,116,99,97,96,100,,,,,,,,,,,,,,,,,,0,,,,,,20.4
7,5,1951,CLE,29,1799,5250,5945,1346,963,208,35,140,696,658,605,,632,27,,63,125,52,35,0.256,,,,,,,,,,,0.102,0.106,0.96,0.336,0.389,0.726,0.133,0.269,,,,,,,,,0.338,5.4,703,7.6,10.0,177.3,27.6,236.0,23.9,,3.7,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,0.7,,22 - 38,8.3,12.9,,,,,,,,0.23199999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,97,123,96,99,107,96,,,,,,,,,,,,,,,,,,0,,,,,,23.9
8,27,1951,PIT,28,2050,5318,5973,1372,961,218,56,137,689,648,557,,615,22,,76,130,29,27,0.258,,,,,,,,,,,0.09300000000000001,0.10300000000000001,0.91,0.331,0.397,0.728,0.139,0.27,,,,,,,,,0.337,1.2,702,-77.3,-22.0,178.1,26.9,126.8,12.9,,3.8,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,-0.8,,19 - 35,-78.1,21.9,,,,,,,,0.21899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,98,115,97,98,101,98,,,,,,,,,,,,,,,,,,0,,,,,,12.9
9,28,1951,STL,29,1820,5317,6003,1404,1022,230,57,95,683,629,569,,492,31,,86,134,30,30,0.264,,,,,,,,,,,0.095,0.08199999999999999,1.16,0.339,0.382,0.721,0.118,0.277,,,,,,,,,0.336,-3.0,702,-57.4,39.0,179.0,30.0,211.1,21.4,,3.8,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,-1.6,,21 - 37,-59.0,22.0,,,,,,,,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,100,92,99,94,86,100,,,,,,,,,,,,,,,,,,0,,,,,,21.4
10,6,1951,DET,29,1890,5336,6007,1413,1043,231,35,104,685,636,567,,523,18,,86,138,37,34,0.265,,,,,,,,,,,0.094,0.087,1.08,0.337,0.38,0.717,0.115,0.278,,,,,,,,,0.335,-9.5,696,-64.3,-9.0,179.1,29.2,146.3,14.9,,3.4,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,-1.8,,21 - 36,-66.1,13.1,,,,,,,,0.19899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,90,101,97,97,92,99,,,,,,,,,,,,,,,,,,0,,,,,,14.9
