,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,1144,1945,PS,29,473,1587,1743,474,380,54,26,14,267,233,150,1.0,,6,,38,,18,,0.299,,,,,,,,,,,0.086,,,0.361,0.392,0.753,0.093,,,,,,,,,,0.359,39.3,234,21.5,2.0,50.7,4.3,94.9,10.0,,5.5,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,2.1,,18 - 40,23.6,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,96,,106,105,94,,,,,,,,,,,,,,,,,,,0,,,,,,10.0
1,1132,1945,BEG,30,525,1745,1922,492,362,71,38,21,297,259,166,2.0,,11,,36,,21,,0.282,,,,,,,,,,,0.086,,,0.348,0.402,0.75,0.12,,,,,,,,,,0.356,38.7,254,19.0,-22.0,55.9,6.8,78.2,8.3,,5.9,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.2,2.7,,18 - 42,21.7,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,96,,102,108,121,,,,,,,,,,,,,,,,,,,0,,,,,,8.3
2,1137,1945,HG,33,475,1553,1746,434,341,57,21,15,251,224,186,4.0,,7,,29,,19,,0.279,,,,,,,,,,,0.107,,,0.359,0.372,0.731,0.093,,,,,,,,,,0.351,29.3,225,11.5,3.0,50.8,5.8,87.6,9.2,,5.1,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,2.3,,19 - 49,13.8,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,119,,105,100,93,,,,,,,,,,,,,,,,,,,0,,,,,,9.2
3,22,1945,BRO,30,1845,5418,6184,1468,1083,257,71,57,795,722,630,,433.0,25,,111,87.0,75,,0.271,,,,,,,,,,,0.102,0.07,1.45,0.35,0.376,0.726,0.105,0.286,,,,,,,,,0.348,86.0,777,6.1,-12.0,179.8,26.5,232.7,24.6,,5.0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,10.1,,17 - 43,16.2,22.3,,,,,,,,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,113,98.0,102,100,101,100.0,,,,,,,,,,,,,,,,,,0,,,,,,24.6
4,17,1945,CHC,31,1799,5298,6035,1465,1127,229,52,57,735,674,555,,462.0,32,,150,93.0,69,,0.277,,,,,,,,,,,0.092,0.077,1.2,0.349,0.372,0.72,0.095,0.295,,,,,,,,,0.346,73.2,748,15.0,35.0,175.5,27.3,283.5,29.7,,4.7,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,9.0,,24 - 43,23.9,21.7,,,,,,,,0.17800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,102,107.0,102,99,92,103.0,,,,,,,,,,,,,,,,,,0,,,,,,29.7
5,9,1945,NYY,31,1637,5176,5926,1343,1000,189,61,93,676,639,619,,566.0,36,,95,102.0,64,43.0,0.259,,,,,,,,,,,0.10400000000000001,0.096,1.09,0.343,0.373,0.716,0.114,0.277,,,,,,,,,0.344,66.7,729,53.6,33.0,172.3,26.8,294.2,30.8,,4.7,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8,-8.9,,24 - 42,44.7,17.4,,,,,,,,0.21600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,113,119.0,103,105,121,99.0,,,,,,,,,,,,,,,,,,0,,,,,,30.8
6,27,1945,PIT,31,1853,5343,6037,1425,1038,259,56,72,753,695,589,,481.0,17,,88,122.0,81,,0.267,,,,,,,,,,,0.098,0.08,1.22,0.341,0.377,0.718,0.11,0.282,,,,,,,,,0.344,65.0,740,-30.6,-14.0,175.5,25.8,190.1,20.1,,4.8,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.6,,22 - 42,-19.0,21.7,,,,,,,,0.18899999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,108,111.0,100,100,106,99.0,,,,,,,,,,,,,,,,,,0,,,,,,20.1
7,30,1945,NYG,28,1811,5350,5991,1439,1115,175,35,114,668,626,501,,457.0,40,,100,111.0,38,,0.269,,,,,,,,,,,0.084,0.076,1.1,0.336,0.379,0.715,0.11,0.277,,,,,,,,,0.342,56.1,726,-27.1,-3.0,174.2,23.2,191.8,20.2,,3.5,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,2.9,,18 - 37,-24.2,21.6,,,,,,,,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,93,106.0,98,100,106,97.0,,,,,,,,,,,,,,,,,,0,,,,,,20.2
8,28,1945,STL,29,1776,5487,6166,1498,1134,256,44,64,756,698,515,,488.0,26,,138,75.0,55,,0.273,,,,,,,,,,,0.084,0.079,1.06,0.338,0.371,0.709,0.098,0.291,,,,,,,,,0.34,46.3,736,-29.2,21.0,179.3,26.5,226.0,23.7,,4.3,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,6.3,,22 - 38,-22.9,22.2,,,,,,,,0.17300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,93,110.0,99,98,94,102.0,,,,,,,,,,,,,,,,,,0,,,,,,23.7
9,16,1945,BSN,29,1798,5441,6080,1453,1098,229,25,101,721,668,522,,511.0,26,,91,107.0,82,,0.267,,,,,,,,,,,0.086,0.084,1.02,0.334,0.374,0.708,0.107,0.28,,,,,,,,,0.339,44.1,724,-29.7,-6.0,176.8,25.3,200.0,21.1,,3.9,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,11.8,,20 - 44,-17.9,21.9,,,,,,,,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,95,117.0,97,99,103,98.0,,,,,,,,,,,,,,,,,,0,,,,,,21.1
