,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,9,1932,NYY,27,1712,5476,6344,1564,1043,279,82,160,1002,954,765,,526.0,27,,76,,77,66.0,0.286,,,,,,,,,,,0.121,0.083,1.45,0.376,0.454,0.83,0.169,0.293,,,,,,,,,0.38,229.3,1030,165.3,-18.0,202.6,34.2,404.2,38.7,,5.3,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,-19.6,,21 - 38,145.8,39.7,,,,,,,,0.22899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,128,120.0,106,108,126,99.0,,,,,,,,,,,,,,,,,,0,,,,,,38.7
1,10,1932,PHA,28,1613,5535,6300,1606,1079,303,52,172,981,923,650,,629.0,21,,94,,37,24.0,0.29,,,,,,,,,,,0.10300000000000001,0.1,1.03,0.367,0.457,0.824,0.167,0.303,,,,,,,,,0.376,206.6,1002,91.9,28.0,201.2,33.0,384.7,37.0,,4.5,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,-8.8,,20 - 37,83.2,39.4,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,110,145.0,103,109,124,102.0,,,,,,,,,,,,,,,,,,0,,,,,,37.0
2,26,1932,PHI,29,1759,5510,6108,1608,1089,330,67,122,844,780,446,,547.0,27,,125,,71,,0.292,,,,,,,,,,,0.073,0.09,0.82,0.348,0.442,0.79,0.151,0.307,,,,,,,,,0.36,123.3,895,-9.9,-28.0,195.1,32.0,212.0,20.2,,5.1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.2,,24 - 37,-0.6,13.6,,,,,,,,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,107,124.0,103,108,118,104.0,,,,,,,,,,,,,,,,,,0,,,,,,20.2
3,5,1932,CLE,28,1569,5412,6121,1544,1082,310,74,78,845,786,566,,454.0,33,,110,,52,54.0,0.285,,,,,,,,,,,0.092,0.07400000000000001,1.25,0.357,0.413,0.77,0.128,0.3,,,,,,,,,0.355,99.6,873,-44.1,-5.0,195.5,34.8,200.7,19.2,,4.7,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,-18.8,,22 - 39,-62.8,38.3,,,,,,,,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98,107.0,100,99,95,102.0,,,,,,,,,,,,,,,,,,0,,,,,,19.2
4,1111,1932,HG,29,547,1923,2110,577,444,94,24,15,339,308,177,,,10,,72,,25,,0.3,,,,,,,,,,,0.084,,,0.362,0.397,0.759,0.097,,,,,,,,,,0.352,30.5,297,26.0,13.0,67.4,2.9,127.5,12.3,,5.2,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,3.0,,19 - 46,29.0,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,98,,104,106,103,,,,,,,,,,,,,,,,,,,0,,,,,,12.3
5,8,1932,WAS,29,1792,5515,6141,1565,1101,303,100,61,840,776,505,,442.0,26,,95,,70,48.0,0.284,,,,,,,,,,,0.08199999999999999,0.07200000000000001,1.14,0.347,0.408,0.755,0.124,0.3,,,,,,,,,0.347,61.8,837,-32.1,44.0,196.1,31.6,265.6,25.7,,5.7,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6,-12.4,,23 - 42,-44.4,38.4,,,,,,,,0.16399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,87,104.0,97,97,93,101.0,,,,,,,,,,,,,,,,,,0,,,,,,25.7
6,22,1932,BRO,30,1798,5433,5944,1538,1073,296,59,110,752,703,388,,574.0,24,,99,,61,,0.283,,,,,,,,,,,0.065,0.09699999999999999,0.68,0.334,0.42,0.754,0.137,0.301,,,,,,,,,0.344,44.3,795,16.8,10.0,189.8,30.6,268.0,25.8,,4.7,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,7.5,,20 - 48,24.3,13.2,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,95,134.0,99,102,108,101.0,,,,,,,,,,,,,,,,,,0,,,,,,25.8
7,1114,1932,WAP,29,457,1417,1565,401,305,57,23,16,219,201,142,,,6,,54,,32,,0.283,,,,,,,,,,,0.091,,,0.351,0.39,0.74,0.107,,,,,,,,,,0.343,11.6,209,8.3,-42.0,50.0,2.1,34.5,3.1,,5.8,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39.9,5.0,,21 - 39,13.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,106,,101,104,113,,,,,,,,,,,,,,,,,,,0,,,,,,3.1
8,6,1932,DET,27,1706,5409,5992,1479,1028,291,80,80,798,742,486,,521.0,13,,84,,105,49.0,0.273,,,,,,,,,,,0.081,0.087,0.93,0.335,0.401,0.736,0.128,0.291,,,,,,,,,0.338,17.1,774,-104.7,20.0,191.4,31.6,170.3,16.4,,5.9,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,-5.5,,22 - 36,-110.1,37.5,,,,,,,,0.18100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,86,126.0,94,96,95,98.0,,,,,,,,,,,,,,,,,,0,,,,,,16.4
9,2,1932,SLB,28,1695,5448,6064,1502,1092,274,69,67,735,684,507,,528.0,19,,90,,69,63.0,0.276,,,,,,,,,,,0.084,0.087,0.96,0.339,0.388,0.728,0.113,0.296,,,,,,,,,0.336,10.6,776,-143.7,-11.0,193.7,29.7,87.4,8.3,,4.8,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,-19.2,,22 - 35,-162.9,37.9,,,,,,,,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,89,126.0,95,93,84,100.0,,,,,,,,,,,,,,,,,,0,,,,,,8.3
