,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,8,1963,MIN,27,2014,5531,6233,1408,925,223,35,225,767,722,547,41,912,41,30,84,116,32,14,0.255,,,,,,,,,,,0.08800000000000001,0.146,0.6,0.325,0.43,0.754,0.175,0.267,,,,,,,,,0.335,142.5,794,58.4,36.0,172.7,36.1,295.4,32.7,,3.9,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1,3.0,,19 - 38,61.4,-10.8,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,104,108,101,109,126,98,,,,,,,,,,,,,,,,,,0,,,,,,32.7
1,28,1963,STL,28,2069,5678,6283,1540,1115,231,66,128,747,697,458,51,915,25,37,85,95,77,42,0.271,,,,,,,,,,,0.073,0.146,0.5,0.326,0.403,0.729,0.132,0.302,,,,,,,,,0.323,86.1,743,6.3,31.0,174.1,35.0,281.9,31.2,,5.0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,1.7,,21 - 42,8.1,33.7,,,,,,,,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,94,102,103,106,105,108,,,,,,,,,,,,,,,,,,0,,,,,,31.2
2,30,1963,SFG,27,2043,5579,6176,1442,1004,206,35,197,725,680,441,53,889,45,39,72,125,55,49,0.258,,,,,,,,,,,0.071,0.14400000000000002,0.5,0.316,0.414,0.73,0.155,0.275,,,,,,,,,0.323,86.4,732,61.2,-36.0,171.2,36.0,260.1,29.6,,3.7,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5.4,,19 - 36,55.9,33.1,,,,,,,,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,92,101,100,109,124,98,,,,,,,,,,,,,,,,,,0,,,,,,29.6
3,3,1963,BOS,27,1924,5575,6145,1403,951,247,34,171,666,623,475,40,954,26,25,44,138,27,16,0.252,,,,,,,,,,,0.077,0.155,0.5,0.312,0.4,0.712,0.149,0.275,,,,,,,,,0.317,57.0,699,-42.4,26.0,170.3,33.2,177.6,19.6,,3.3,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2,1.2,,19 - 35,-41.2,-10.6,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,91,114,97,102,107,100,,,,,,,,,,,,,,,,,,0,,,,,,19.6
4,6,1963,DET,28,1958,5500,6242,1388,1009,195,36,148,700,649,592,49,908,38,48,64,127,73,32,0.252,,,,,,,,,,,0.095,0.145,0.65,0.327,0.382,0.708,0.129,0.276,,,,,,,,,0.317,59.4,712,-19.7,34.0,173.0,33.3,214.5,23.6,,4.4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,4.7,,19 - 38,-15.0,-10.8,,,,,,,,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,112,107,102,97,93,101,,,,,,,,,,,,,,,,,,0,,,,,,23.6
5,9,1963,NYY,28,1879,5506,6067,1387,967,197,35,188,714,666,434,46,808,31,30,66,91,42,26,0.252,,,,,,,,,,,0.07200000000000001,0.133,0.54,0.309,0.403,0.711,0.151,0.264,,,,,,,,,0.316,49.5,683,-0.2,56.0,168.1,35.7,249.6,27.3,,3.8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7,0.4,,22 - 38,0.3,-10.5,,,,,,,,0.23600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,84,98,96,102,109,96,,,,,,,,,,,,,,,,,,0,,,,,,27.3
6,4,1963,CHW,27,2018,5508,6242,1379,1017,208,40,114,683,648,571,29,896,40,44,79,97,64,28,0.25,,,,,,,,,,,0.091,0.14400000000000002,0.64,0.323,0.365,0.688,0.114,0.279,,,,,,,,,0.309,25.0,677,-17.8,42.0,173.0,35.5,226.3,24.8,,4.3,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5,4.4,,20 - 40,-13.5,-10.8,,,,,,,,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,108,106,100,93,82,102,,,,,,,,,,,,,,,,,,0,,,,,,24.8
7,2,1963,BAL,27,2017,5448,6055,1359,974,207,32,146,644,609,469,43,940,28,37,73,119,97,34,0.249,,,,,,,,,,,0.077,0.155,0.5,0.31,0.38,0.69,0.13,0.276,,,,,,,,,0.307,15.0,648,-26.6,23.0,167.8,33.5,195.8,21.7,,4.5,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,8.6,,18 - 36,-18.0,-10.5,,,,,,,,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,91,114,96,96,94,101,,,,,,,,,,,,,,,,,,0,,,,,,21.7
8,16,1963,MIL,27,2097,5518,6211,1345,963,204,39,139,677,624,525,63,954,43,43,82,108,75,52,0.244,,,,,,,,,,,0.085,0.154,0.55,0.312,0.37,0.683,0.127,0.27,,,,,,,,,0.304,-1.8,647,-16.9,42.0,172.1,33.3,261.5,28.8,,4.3,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3,-2.4,,20 - 42,-19.3,33.3,,,,,,,,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,108,107,99,98,101,97,,,,,,,,,,,,,,,,,,0,,,,,,28.8
9,26,1963,PHI,28,2146,5524,6092,1390,982,228,54,126,642,599,403,64,955,44,34,87,99,56,39,0.252,,,,,,,,,,,0.066,0.157,0.42,0.306,0.381,0.687,0.129,0.282,,,,,,,,,0.304,-0.9,636,-9.8,23.0,168.8,33.8,246.9,27.4,,4.3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8,-1.6,,19 - 37,-11.4,32.7,,,,,,,,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,85,110,97,100,103,101,,,,,,,,,,,,,,,,,,0,,,,,,27.4
