,teamIDfg,Season,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
0,3,1977,BOS,29,1590,5510,6184,1551,1024,258,56,213,859,828,528,38,905,42,59,45,132,66,47,0.281,,,,,,,,,,,0.085,0.146,0.58,0.345,0.465,0.81,0.183,0.301,,,,,,,,,0.355,153.6,874,79.2,18.0,183.7,-18.5,284.6,29.2,,4.6,111,5.71,-106.07,111.79,60.29,5.39,0.97,1.7,65,5.92,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,-1.2,,22 - 37,78.0,23.5,,,,,,,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,102,113,105,115,132,105,,,,,,,,,,,,,,,,,,0,,,,,,29.2
1,26,1977,PHI,29,2166,5546,6293,1548,1040,266,56,186,847,795,573,75,806,38,74,59,121,135,68,0.279,,,,,,,,,,,0.091,0.128,0.71,0.346,0.448,0.794,0.169,0.294,,,,,,,,,0.347,113.4,846,73.0,60.0,186.9,35.8,375.3,38.4,,5.3,110,14.56,-107.02,121.59,128.5,12.84,1.01,1.71,258,12.61,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8,4.1,,22 - 38,77.0,15.5,,,,,,,,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,101,99,103,109,120,101,,,,,,,,,,,,,,,,,,0,,,,,,38.4
2,9,1977,NYY,29,1724,5605,6261,1576,1078,267,47,184,831,784,533,49,681,28,48,46,117,93,57,0.281,,,,,,,,,,,0.085,0.109,0.78,0.344,0.444,0.788,0.163,0.291,,,,,,,,,0.347,113.3,842,123.3,48.0,186.0,-20.3,360.9,37.0,,4.6,117,11.96,-101.12,113.08,126.48,13.43,0.94,1.68,65,13.43,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,0.2,,22 - 36,123.5,23.7,,,,,,,,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,101,84,104,110,117,101,,,,,,,,,,,,,,,,,,0,,,,,,37.0
3,4,1977,CHW,26,1706,5633,6322,1568,1070,254,52,192,844,809,559,46,666,34,63,33,120,42,43,0.278,,,,,,,,,,,0.08800000000000001,0.105,0.84,0.344,0.444,0.788,0.166,0.284,,,,,,,,,0.346,114.1,850,91.0,-95.0,187.8,-21.7,181.9,19.0,,4.1,112,8.33,-107.4,115.73,82.17,7.89,0.98,2.06,94,7.21,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-116.7,-4.2,,20 - 34,86.8,24.0,,,,,,,,0.22399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,105,81,104,110,119,99,,,,,,,,,,,,,,,,,,0,,,,,,19.0
4,18,1977,CIN,28,2096,5524,6265,1513,1021,269,42,181,802,750,600,63,911,25,50,62,113,170,64,0.274,,,,,,,,,,,0.096,0.145,0.66,0.345,0.436,0.781,0.162,0.297,,,,,,,,,0.344,94.3,824,57.1,-2.0,186.1,36.6,306.1,31.5,,5.3,108,8.62,-101.77,110.39,76.83,7.39,0.93,1.32,220,7.86,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,12.7,,20 - 37,69.9,15.5,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,106,113,102,106,115,102,,,,,,,,,,,,,,,,,,0,,,,,,31.5
5,7,1977,KCR,27,1836,5595,6268,1549,1027,299,77,146,822,773,522,49,687,45,57,49,102,170,89,0.277,,,,,,,,,,,0.083,0.11,0.76,0.34,0.436,0.776,0.159,0.291,,,,,,,,,0.341,87.2,817,66.7,30.0,186.2,-19.3,289.8,29.7,,6.1,109,12.54,-108.05,120.59,98.02,10.01,1.0,2.12,143,10.31,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,2.4,,19 - 38,69.1,23.8,,,,,,,,0.21600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,99,85,103,108,115,102,,,,,,,,,,,,,,,,,,0,,,,,,29.7
6,8,1977,MIN,26,1828,5639,6382,1588,1132,273,60,123,867,804,563,53,754,43,56,81,115,105,65,0.282,,,,,,,,,,,0.08800000000000001,0.11800000000000001,0.75,0.348,0.417,0.765,0.135,0.304,,,,,,,,,0.339,75.3,818,49.0,-6.0,189.6,-26.0,230.4,23.7,,5.1,106,5.11,-117.1,122.21,85.12,7.99,1.05,1.38,150,5.4,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.0,-0.4,,21 - 31,48.6,24.2,,,,,,,,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,105,91,105,103,97,106,,,,,,,,,,,,,,,,,,0,,,,,,23.7
7,13,1977,TEX,28,1775,5541,6342,1497,1058,265,39,135,767,704,596,47,904,39,50,116,122,154,85,0.27,,,,,,,,,,,0.094,0.14300000000000002,0.66,0.342,0.405,0.748,0.135,0.299,,,,,,,,,0.333,44.4,783,32.4,64.0,188.4,-23.0,287.0,29.3,,5.0,104,2.04,-115.98,118.02,33.43,3.49,1.06,1.95,105,5.07,-3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,1.2,,20 - 35,33.6,24.1,,,,,,,,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,112,110,104,100,97,104,,,,,,,,,,,,,,,,,,0,,,,,,29.3
8,22,1977,LAD,29,2176,5590,6328,1484,1042,223,28,191,769,729,588,67,896,23,44,82,103,114,62,0.265,,,,,,,,,,,0.09300000000000001,0.142,0.66,0.335,0.418,0.753,0.152,0.284,,,,,,,,,0.332,41.2,778,27.3,12.0,188.0,38.6,283.8,29.1,,4.4,104,6.46,-108.62,115.08,83.78,9.13,1.0,1.71,230,9.05,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,2.3,,21 - 40,29.6,15.6,,,,,,,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,103,110,100,102,108,98,,,,,,,,,,,,,,,,,,0,,,,,,29.1
9,27,1977,PIT,28,2148,5662,6263,1550,1082,278,57,133,734,678,474,74,878,34,43,49,96,260,120,0.274,,,,,,,,,,,0.076,0.14,0.54,0.331,0.413,0.745,0.14,0.302,,,,,,,,,0.327,17.3,746,-22.6,47.0,186.0,34.7,268.3,27.5,,5.8,97,8.43,-112.98,121.4,29.42,3.1,1.04,1.97,250,3.96,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.7,7.7,,20 - 37,-14.9,15.5,,,,,,,,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,84,109,98,101,99,104,,,,,,,,,,,,,,,,,,0,,,,,,27.5
