,teamIDfg,Season,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA,botERA,botOvr CH,botStf CH,botCmd CH,botOvr CU,botStf CU,botCmd CU,botOvr FA,botStf FA,botCmd FA,botOvr SI,botStf SI,botCmd SI,botOvr SL,botStf SL,botCmd SL,botOvr KC,botStf KC,botCmd KC,botOvr FC,botStf FC,botCmd FC,botOvr FS,botStf FS,botCmd FS,botOvr,botStf,botCmd,botxRV100,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,Stuff+,Location+,Pitching+,Stf+ FO,Loc+ FO,Pit+ FO
0,22,1975,LAD,28,88,74,2.92,330,162,51,17,21,,1469.1,6015,1215,534,477,104,448,20,28,36,10,894,,,,,,,,,,,,5.48,2.74,2.0,7.44,0.64,0.219,1.13,0.245,0.7490000000000001,3.26,,,,,,,,,183.9,1159.3,-4.8,307.7,179.1,20.6,,,,2.31,-110.13,112.44,72.17,8.72,1.12,1.05,1.16,1.44,168,9.33,-7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,45,84,91,,0.149,0.075,,,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,13.5,-6.8,6.7,21 - 37,0.07400000000000001,,,,,,,3.3,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,79,137,85,100,87,83,88,104,114,83,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,1975,PIT,27,92,69,3.02,387,161,43,11,31,,1437.1,6072,1302,565,482,79,551,102,20,37,11,768,,,,,,,,,,,,4.81,3.45,1.39,8.15,0.49,0.237,1.29,0.263,0.742,3.42,,,,,,,,,129.9,1055.8,23.9,377.1,153.8,17.1,,,,4.8,-99.51,104.32,77.12,8.7,1.02,0.95,1.12,1.31,226,3.51,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,42,85,95,,0.127,0.091,,,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,6.0,-1.2,4.8,21 - 35,0.036000000000000004,,,,,,,3.76,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,99,96,93,78,94,95,95,103,97,101,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1975,BAL,27,90,69,3.17,308,159,70,19,21,,1451.0,5943,1285,553,511,110,500,46,12,44,3,717,,,,,,,,,,,,4.45,3.1,1.43,7.97,0.68,0.237,1.23,0.255,0.757,3.64,,,,,,,,,134.4,1154.7,18.6,291.4,152.9,16.5,,,,1.79,-105.33,107.12,63.24,7.22,1.03,1.02,1.37,1.91,150,3.64,-1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,47,88,98,,0.121,0.084,,,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,8.4,3.7,12.1,23 - 38,0.037000000000000005,,,,,,,3.75,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,89,101,91,89,94,90,92,106,94,93,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,1975,NYY,27,83,77,3.29,307,160,70,11,20,,1424.0,5937,1325,588,520,104,502,41,21,41,3,809,,,,,,,,,,,,5.11,3.17,1.61,8.37,0.66,0.245,1.28,0.271,0.74,3.5,,,,,,,,,158.5,1159.7,22.2,260.8,180.7,19.5,,,,3.34,-101.67,105.01,67.68,7.26,1.01,0.98,1.19,1.54,148,6.42,-3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,29,89,93,,0.136,0.085,,,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2.0,2.5,4.5,24 - 33,0.052000000000000005,,,,,,,3.56,0.23800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,91,113,95,86,97,94,98,103,106,94,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,1975,OAK,29,98,64,3.29,407,162,36,7,44,,1448.0,6039,1267,606,530,102,523,41,37,48,3,784,,,,,,,,,,,,4.87,3.25,1.5,7.87,0.63,0.231,1.24,0.254,0.725,3.58,,,,,,,,,129.5,982.1,49.0,460.3,178.5,19.2,,,,8.22,-96.92,105.14,49.33,6.11,0.99,0.99,1.24,1.47,245,6.02,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,40,92,93,,0.13,0.087,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,9.0,-8.4,0.5,20 - 39,0.043,,,,,,,3.67,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,94,105,90,83,92,91,92,101,101,96,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18,1975,CIN,28,108,54,3.37,439,162,22,4,50,,1459.0,6158,1422,586,546,112,487,63,29,49,10,663,,,,,,,,,,,,4.09,3.0,1.36,8.77,0.69,0.252,1.31,0.269,0.759,3.74,,,,,,,,,78.6,1011.8,29.9,444.4,108.5,11.9,,,,13.68,-102.54,116.22,110.35,11.23,1.07,1.04,1.32,1.58,277,8.14,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,48,94,104,,0.10800000000000001,0.079,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,3.7,7.5,11.3,22 - 34,0.028999999999999998,,,,,,,3.84,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,87,93,100,109,100,96,97,106,82,88,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,25,1975,NYM,26,82,80,3.39,391,162,40,13,31,,1466.0,6190,1344,625,552,99,580,64,24,48,20,989,,,,,,,,,,,,6.07,3.56,1.71,8.25,0.61,0.241,1.31,0.277,0.731,3.35,,,,,,,,,147.5,1069.9,7.1,391.9,154.6,17.9,,,,2.24,-107.46,109.7,7.52,1.05,1.04,0.97,1.1,1.27,229,0.43,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,43,97,95,,0.16,0.094,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.7,-1.6,-0.9,21 - 33,0.066,,,,,,,3.39,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,103,117,94,96,96,96,100,102,122,104,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,1975,KCR,28,91,71,3.49,366,162,52,10,25,,1456.2,6156,1422,649,565,108,498,52,30,41,2,815,,,,,,,,,,,,5.04,3.08,1.64,8.79,0.67,0.253,1.32,0.279,0.723,3.52,,,,,,,,,137.6,1074.7,31.6,378.7,169.2,18.1,,,,4.72,-112.62,117.34,44.4,4.69,1.07,1.03,1.26,1.56,204,2.27,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,44,90,94,,0.132,0.081,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,-1.0,4.4,3.4,22 - 39,0.052000000000000005,,,,,,,3.57,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,89,115,100,87,100,97,101,101,103,89,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,29,1975,SDP,26,71,91,3.51,452,162,40,10,20,,1463.1,6314,1494,683,570,99,521,94,24,44,9,713,,,,,,,,,,,,4.39,3.2,1.37,9.19,0.61,0.259,1.38,0.281,0.7140000000000001,3.61,,,,,,,,,103.7,1033.8,-6.0,424.4,97.8,10.9,,,,-1.57,-112.93,111.36,-43.9,-5.09,1.06,1.01,1.13,1.28,290,-4.13,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,55,102,103,,0.113,0.083,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,-1.1,-2.0,-3.0,23 - 38,0.03,,,,,,,3.82,0.21100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,92,94,105,96,103,101,101,99,86,92,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28,1975,STL,27,82,80,3.58,435,163,33,11,36,,1454.2,6304,1452,689,578,98,571,94,24,55,5,824,,,,,,,,,,,,5.1,3.53,1.44,8.98,0.61,0.254,1.39,0.283,0.711,3.56,,,,,,,,,111.5,1069.7,12.7,379.6,124.2,14.1,,,,0.8,-113.51,114.31,-8.51,-0.89,1.06,1.0,1.15,1.31,273,-0.65,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,53,99,102,,0.131,0.091,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,-1.8,-0.1,-1.9,22 - 39,0.04,,,,,,,3.7,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,102,99,102,95,101,102,102,99,100,101,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24,1975,MON,27,75,87,3.73,433,162,30,9,25,,1480.0,6430,1448,690,614,102,665,63,37,68,12,831,,,,,,,,,,,,5.05,4.04,1.25,8.81,0.62,0.253,1.43,0.281,0.727,3.78,,,,,,,,,94.3,1043.2,13.5,431.2,107.8,11.9,,,,-1.13,-125.67,124.54,1.11,0.22,1.13,1.04,1.11,1.25,271,-3.56,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,63,99,104,,0.129,0.10300000000000001,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,-0.9,3.6,2.6,21 - 35,0.026000000000000002,,,,,,,3.88,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,117,86,100,98,101,105,101,101,99,115,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,30,1975,SFG,25,80,81,3.74,420,161,37,9,24,,1432.2,6211,1406,671,595,92,612,93,38,49,15,856,,,,,,,,,,,,5.38,3.84,1.4,8.83,0.58,0.253,1.41,0.285,0.7190000000000001,3.59,,,,,,,,,118.7,1050.9,-7.3,377.8,111.3,13.0,,,,-1.35,-111.85,110.5,-6.72,-0.67,1.05,0.99,1.15,1.32,259,-1.64,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,99,102,,0.138,0.099,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,-2.5,5.4,2.9,21 - 28,0.039,,,,,,,3.71,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,111,96,101,91,101,104,102,100,105,110,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26,1975,PHI,27,86,76,3.82,445,162,33,9,30,,1455.0,6140,1353,694,617,111,546,49,25,50,20,897,,,,,,,,,,,,5.55,3.38,1.64,8.37,0.69,0.243,1.31,0.272,0.696,3.52,,,,,,,,,123.8,993.0,21.0,457.1,144.8,16.0,,,,2.65,-108.86,111.51,3.78,-0.01,1.03,0.96,1.01,1.08,283,4.9,-2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,45,102,96,,0.146,0.08900000000000001,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,2.2,-6.4,-4.2,20 - 38,0.057,,,,,,,3.5,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,97,113,95,108,97,96,98,97,112,99,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,1975,CLE,28,79,80,3.85,377,159,37,6,33,,1435.1,6156,1395,703,614,136,599,78,35,51,9,800,,,,,,,,,,,,5.02,3.76,1.34,8.75,0.85,0.253,1.39,0.275,0.721,4.03,,,,,,,,,102.8,1020.9,8.8,407.2,111.6,12.0,,,,-1.67,-107.59,105.92,-18.96,-2.31,1.0,1.0,1.33,1.66,218,-2.04,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,49,102,103,,0.13,0.09699999999999999,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,0.9,0.8,1.6,20 - 39,0.033,,,,,,,3.79,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,108,94,100,112,100,102,99,101,101,108,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1975,CAL,27,72,89,3.89,353,161,59,13,16,,1453.1,6242,1386,723,628,123,613,34,39,62,5,975,,,,,,,,,,,,6.04,3.8,1.59,8.58,0.76,0.248,1.38,0.281,0.705,3.69,,,,,,,,,135.5,1098.3,-1.0,347.1,134.5,15.0,,,,-4.5,-113.51,109.01,-60.68,-6.47,1.04,0.99,1.22,1.54,192,-4.28,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,60,108,99,,0.156,0.098,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,-1.8,-5.8,-7.5,21 - 41,0.057999999999999996,,,,,,,3.49,0.27399999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,109,112,98,100,98,101,102,99,121,109,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,13,1975,TEX,28,79,83,3.91,386,162,60,14,17,,1465.2,6252,1456,733,636,123,518,60,43,46,7,792,,,,,,,,,,,,4.86,3.18,1.53,8.94,0.76,0.256,1.35,0.279,0.696,3.75,,,,,,,,,133.3,1066.0,-6.7,395.0,126.6,13.9,,,,0.38,-112.73,113.1,-22.11,-2.79,1.04,1.03,1.29,1.59,225,0.1,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,54,103,100,,0.127,0.083,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,-1.0,-2.4,-3.5,20 - 36,0.044000000000000004,,,,,,,3.66,0.22899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,92,108,102,99,101,99,101,97,99,92,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,1975,ATL,28,67,94,3.93,428,161,32,3,24,,1430.0,6279,1543,739,624,101,519,50,44,53,17,669,,,,,,,,,,,,4.21,3.27,1.29,9.71,0.64,0.27,1.44,0.292,0.696,3.75,,,,,,,,,121.1,1015.2,22.7,408.5,143.7,16.0,,,,-9.63,-116.94,107.31,-103.56,-11.48,1.03,0.95,1.01,1.09,267,-12.68,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,49,100,97,,0.107,0.083,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,-5.0,-1.7,-6.7,20 - 36,0.024,,,,,,,3.9,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,94,89,111,100,108,106,105,97,81,92,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,1975,CHW,27,75,86,3.93,370,161,34,3,39,,1452.1,6343,1489,703,634,107,655,38,33,26,6,799,,,,,,,,,,,,4.95,4.06,1.22,9.23,0.66,0.263,1.48,0.291,0.727,3.87,,,,,,,,,75.6,986.0,54.3,461.9,130.0,14.1,,,,0.57,-116.62,117.19,-9.8,-1.24,1.06,1.02,1.3,1.63,209,-4.2,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,44,102,103,,0.126,0.10300000000000001,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,-5.4,9.1,3.7,21 - 36,0.023,,,,,,,3.91,0.24600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,117,86,105,87,104,108,105,102,98,114,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
