,teamIDfg,Season,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB% 2,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xERA,botERA,botOvr CH,botStf CH,botCmd CH,botOvr CU,botStf CU,botCmd CU,botOvr FA,botStf FA,botCmd FA,botOvr SI,botStf SI,botCmd SI,botOvr SL,botStf SL,botCmd SL,botOvr KC,botStf KC,botCmd KC,botOvr FC,botStf FC,botCmd FC,botOvr FS,botStf FS,botCmd FS,botOvr,botStf,botCmd,botxRV100,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,Stuff+,Location+,Pitching+,Stf+ FO,Loc+ FO,Pit+ FO
0,16,1999,ATL,27,103,59,3.65,556,162,9,1,45,,1471.0,6218,1398,661,596,142,507,55,26,34,3,1197,,,,,,,,,,,,7.32,3.1,2.36,8.55,0.87,0.246,1.3,0.289,0.733,3.85,,,,,,,,,229.2,1051.2,51.0,414.2,280.2,27.8,,,,13.47,-101.46,114.93,103.58,10.35,1.02,1.02,1.18,1.31,394,11.89,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,49,81,84,,0.193,0.08199999999999999,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,2.5,0.9,3.4,22 - 36,0.111,,,,,,,4.21,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,83,131,92,77,94,90,98,103,113,86,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,1999,ARI,29,100,62,3.77,544,162,16,4,42,,1467.1,6233,1387,676,615,176,543,48,49,39,10,1198,,,,,,,,,,,,7.35,3.33,2.21,8.51,1.08,0.246,1.32,0.284,0.752,4.27,,,,,,,,,189.1,1054.8,28.0,406.7,217.1,21.7,,,,7.66,-114.76,122.42,117.02,11.45,1.08,1.04,1.21,1.35,382,8.44,-1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,63,81,92,,0.192,0.087,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,4.0,4.7,8.7,20 - 37,0.105,,,,,,,4.28,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,89,122,92,95,94,91,96,106,113,92,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,1999,HOU,27,97,65,3.84,501,162,12,5,48,,1458.2,6199,1485,675,622,128,478,17,40,54,0,1204,,,,,,,,,,,,7.43,2.95,2.52,9.16,0.79,0.261,1.35,0.312,0.728,3.69,,,,,,,,,219.1,1054.5,51.6,400.2,270.7,26.7,,,,10.57,-104.08,114.65,78.4,7.73,1.02,0.99,1.15,1.28,339,6.59,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,51,89,84,,0.19399999999999998,0.077,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,-6.1,4.3,-1.9,22 - 35,0.11699999999999999,,,,,,,4.14,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,79,140,99,70,100,93,106,103,114,81,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,18,1999,CIN,28,96,67,3.99,544,163,6,3,55,,1462.0,6221,1309,711,648,190,636,46,45,65,3,1081,,,,,,,,,,,,6.65,3.92,1.7,8.06,1.17,0.236,1.33,0.262,0.742,4.74,,,,,,,,,101.7,929.8,40.8,527.3,142.4,13.7,,,,7.12,-107.14,114.26,85.33,8.08,1.01,1.0,1.12,1.22,382,4.85,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,66,86,101,,0.174,0.102,,,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,11.5,-0.2,11.4,22 - 32,0.07200000000000001,,,,,,,4.69,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,105,95,87,103,90,92,89,105,102,108,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,1999,BOS,29,94,68,4.0,574,162,6,1,50,,1436.2,6120,1396,718,638,160,469,25,55,28,0,1131,,,,,,,,,,,,7.09,2.94,2.41,8.75,1.0,0.249,1.3,0.287,0.7090000000000001,4.1,,,,,,,,,186.3,891.3,40.9,537.9,227.2,23.5,,,,12.47,-101.37,113.84,103.47,9.44,1.0,0.99,1.1,1.19,412,10.92,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,66,81,88,,0.185,0.077,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,4.5,-0.5,4.0,22 - 37,0.10800000000000001,,,,,,,4.25,0.28800000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,79,144,91,85,92,87,95,102,118,82,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,1999,NYY,29,98,64,4.16,521,162,6,4,50,,1439.2,6233,1402,731,665,158,581,27,57,49,4,1111,,,,,,,,,,,,6.95,3.63,1.91,8.76,0.99,0.251,1.38,0.288,0.72,4.35,,,,,,,,,169.2,1000.1,57.2,434.9,226.4,21.2,,,,7.29,-104.58,111.86,60.81,5.91,0.99,0.95,1.06,1.15,359,3.72,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,51,88,91,,0.17800000000000002,0.09300000000000001,,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,4.8,-2.3,2.5,23 - 41,0.085,,,,,,,4.52,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,98,114,91,84,92,93,96,103,113,99,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,25,1999,NYM,30,97,66,4.27,602,163,5,3,49,,1456.2,6232,1372,711,691,167,617,53,52,38,4,1172,,,,,,,,,,,,7.24,3.81,1.9,8.48,1.03,0.247,1.37,0.285,0.736,4.39,,,,,,,,,118.0,962.6,48.8,488.0,166.9,15.9,,,,7.22,-104.81,112.03,67.01,6.78,0.99,0.98,1.12,1.22,439,3.97,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,61,97,98,,0.188,0.099,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,3.6,1.6,5.3,24 - 40,0.08900000000000001,,,,,,,4.48,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,102,106,92,91,94,95,97,104,111,104,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27,1999,PIT,27,78,83,4.35,586,161,8,0,34,,1433.1,6272,1444,782,692,160,633,54,51,54,10,1083,,,,,,,,,,,,6.8,3.97,1.71,9.07,1.0,0.258,1.45,0.296,0.7070000000000001,4.51,,,,,,,,,134.6,963.1,21.2,465.1,155.7,14.9,,,,2.41,-110.3,112.71,-6.5,-0.78,1.01,1.0,1.11,1.2,424,-0.27,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,70,94,98,,0.17300000000000001,0.10099999999999999,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,0.2,0.5,0.7,23 - 31,0.07200000000000001,,,,,,,4.68,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,106,95,98,89,99,100,100,100,102,106,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,22,1999,LAD,28,77,85,4.45,561,162,8,3,37,,1452.2,6317,1438,787,718,192,594,26,62,53,9,1077,,,,,,,,,,,,6.67,3.68,1.81,8.91,1.19,0.254,1.4,0.284,0.716,4.72,,,,,,,,,133.0,999.9,-7.2,446.0,125.8,12.6,,,,-0.34,-114.67,114.33,-8.5,-0.68,1.01,0.97,1.05,1.11,399,-1.68,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,65,104,103,,0.171,0.094,,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,4.7,-5.9,-1.2,21 - 37,0.077,,,,,,,4.63,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99,101,96,105,97,97,96,101,100,99,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,29,1999,SDP,29,74,88,4.47,564,162,5,3,43,,1420.1,6147,1454,781,705,193,529,48,35,73,5,1078,,,,,,,,,,,,6.83,3.35,2.04,9.21,1.22,0.26,1.4,0.292,0.708,4.57,,,,,,,,,103.8,973.1,23.1,441.4,126.9,12.0,,,,-1.95,-107.49,105.54,-36.86,-3.47,0.98,0.95,1.07,1.15,402,-3.27,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,64,105,103,,0.175,0.086,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,1.3,-3.3,-1.9,21 - 37,0.08900000000000001,,,,,,,4.47,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,90,113,100,108,99,97,99,100,103,91,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
