,IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
6,1002378,1917,Ty Cobb,DET,30,152,588,669,225,151,44,24,6,107,102,61,,34,4,,16,,55,,0.383,,,,,,,,,,,0.091,0.051,1.79,0.444,0.57,1.014,0.187,0.4,,,,,,,,,0.48,74.2,139,69.0,6.0,17.7,-4.5,96.9,11.5,,7.4,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,6.6,,30 - 30,75.6,2.1,,,,,,,,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,108,67,136,173,249,144.0,,,,,,,,,,,,,,,,,,0,,,,,,11.5
11,1006030,1917,Rogers Hornsby,STL,21,145,523,589,171,122,24,17,8,86,66,45,,34,4,,17,,17,,0.327,,,,,,,,,,,0.076,0.057999999999999996,1.32,0.385,0.484,0.868,0.157,0.339,,,,,,,,,0.416,40.4,97,38.2,18.0,15.6,8.9,82.8,9.5,,6.5,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,-0.1,,21 - 21,38.1,2.2,,,,,,,,0.14800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,112,68,123,143,191,121.0,,,,,,,,,,,,,,,,,,0,,,,,,9.5
9,1012309,1917,Tris Speaker,CLE,29,142,523,612,184,129,42,11,2,90,60,67,,14,7,,15,,30,,0.352,,,,,,,,,,,0.109,0.023,4.79,0.432,0.486,0.918,0.134,0.359,,,,,,,,,0.44,51.7,111,44.4,4.0,16.2,-3.5,64.7,7.7,,6.5,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.8,,29 - 29,46.2,1.9,,,,,,,,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,129,30,133,147,178,130.0,,,,,,,,,,,,,,,,,,0,,,,,,7.7
30,1002151,1917,Ray Chapman,CLE,26,156,563,691,170,127,28,13,2,98,36,61,,65,0,,67,,52,,0.302,,,,,,,,,,,0.08800000000000001,0.094,0.94,0.37,0.409,0.779,0.107,0.339,,,,,,,,,0.376,29.5,96,21.2,8.0,18.3,9.6,65.8,7.7,,7.9,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,6.5,,26 - 26,27.7,2.1,,,,,,,,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,104,123,114,124,142,122.0,,,,,,,,,,,,,,,,,,0,,,,,,7.7
22,1005078,1917,Heinie Groh,CIN,27,156,599,685,182,131,39,11,1,91,53,71,,30,8,,7,,15,,0.304,,,,,,,,,,,0.10400000000000001,0.044000000000000004,2.37,0.385,0.411,0.796,0.107,0.319,,,,,,,,,0.386,33.5,100,30.8,3.0,18.1,4.8,57.9,6.9,,5.9,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,-1.3,,27 - 27,29.5,2.6,,,,,,,,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,151,52,123,121,130,114.0,,,,,,,,,,,,,,,,,,0,,,,,,6.9
23,1001708,1917,George Burns,NYG,27,152,597,678,180,137,25,13,5,103,45,75,,55,1,,5,,40,,0.302,,,,,,,,,,,0.111,0.081,1.36,0.38,0.412,0.792,0.111,0.326,,,,,,,,,0.384,32.4,98,32.1,9.0,17.9,-7.5,57.7,6.7,,7.3,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.6,,27 - 27,35.7,2.6,,,,,,,,0.19899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,161,96,121,122,135,117.0,,,,,,,,,,,,,,,,,,0,,,,,,6.7
121,1004149,1917,Art Fletcher,NYG,32,151,557,608,145,112,24,5,4,70,56,23,,28,19,,9,,12,,0.26,,,,,,,,,,,0.038,0.046,0.82,0.312,0.343,0.655,0.083,0.269,,,,,,,,,0.32,3.6,62,3.4,30.0,16.1,9.3,60.3,6.6,,5.3,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,-0.8,,32 - 32,2.6,2.3,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,55,54,99,101,101,96.0,,,,,,,,,,,,,,,,,,0,,,,,,6.6
14,1013388,1917,Bobby Veach,DET,29,154,571,666,182,131,31,12,8,79,103,61,,44,9,,25,,21,,0.319,,,,,,,,,,,0.092,0.066,1.39,0.393,0.457,0.85,0.138,0.335,,,,,,,,,0.41,43.0,107,37.9,4.0,17.6,-7.6,54.0,6.4,,6.1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6,0.1,,29 - 29,37.9,2.1,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,108,86,121,138,184,121.0,,,,,,,,,,,,,,,,,,0,,,,,,6.4
16,1012021,1917,George Sisler,SLB,24,135,539,587,190,149,30,9,2,60,52,30,,19,3,,15,,37,,0.353,,,,,,,,,,,0.051,0.032,1.58,0.39,0.453,0.843,0.1,0.363,,,,,,,,,0.404,35.9,93,33.2,-1.0,15.5,-4.1,49.1,5.9,,6.1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.1,3.7,,24 - 24,36.9,1.8,,,,,,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,60,42,120,137,133,131.0,,,,,,,,,,,,,,,,,,0,,,,,,5.9
40,1001944,1917,Max Carey,PIT,27,155,588,668,174,140,21,12,1,82,51,58,,38,10,,12,,46,,0.296,,,,,,,,,,,0.087,0.057,1.53,0.369,0.378,0.746,0.082,0.315,,,,,,,,,0.364,23.0,88,18.6,8.0,17.6,-3.8,47.9,5.6,,7.0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.9,,27 - 27,23.5,2.5,,,,,,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,127,67,118,111,99,113.0,,,,,,,,,,,,,,,,,,0,,,,,,5.6
