"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-09-25","86.5","-2.63","6.2","Pham, Tommy",502054,641656,"field_out","hit_into_play",,,,,8,"Tommy Pham flies out to left fielder Everson Pereira.","R","R","R","NYY","AZ","X",7,"fly_ball",0,0,2023,"0","0.32","0.19","2.1",,,672515,1,7,"Top",82.02,60.27,,,669224,,,6.692780326959855,-125.81089643818679,-4.22621071582859,-1.2989628667058708,24.59542738226015,-28.1352963692577,"3.5","1.63",359,"91.9",31,"86.3",1332,"6.1",716471,641656,669224,518934,650402,672724,683011,677592,664314,665828,"54.43",0.097,0.154,"0",1,0,0,3,54,1,"Slider",2,3,3,2,3,2,3,2,"Standard","Standard",226,"0.03","-0.303"
"KC","2023-09-24","82.2","-2.93","5.8","Volpe, Anthony",683011,668678,"field_out","hit_into_play",,,,,1,"Anthony Volpe flies out to left fielder Lourdes Gurriel Jr.","R","R","R","NYY","AZ","X",7,"fly_ball",0,0,2023,"0.15","-0.79","-0.45","2.75",,,,2,6,"Bot",77.47,48.98,,,672515,,,5.392490964233398,-119.54032403422994,1.2814132740456767,0.1961899921852375,26.375719019027688,-40.16828591728836,"3.19","1.51",388,"97.5",34,"82.4",2348,"6.8",716458,668678,672515,572233,672695,446334,691783,666971,677950,682998,"53.72",0.286,0.535,"0",1,0,0,5,43,1,"Knuckle Curve",0,2,0,2,2,0,0,2,"Standard","Standard",43,"-0.014","-0.106"
"KC","2023-09-24","81.7","-2.95","5.8","Torres, Gleyber",650402,668678,"field_out","hit_into_play",,,,,7,"Gleyber Torres flies out to right fielder Corbin Carroll.","R","R","R","NYY","AZ","X",9,"fly_ball",1,1,2023,"0.44","-0.8","-0.72","1.56",,,,0,6,"Bot",188.81,119.21,,,672515,,,4.2231827012853,-118.92589690975011,-1.4299532159915929,3.3833653289194356,23.066865304208417,-39.732423272776764,"3.14","1.45",252,"84.9",47,"82.7",2284,"7",716458,668678,672515,572233,672695,446334,691783,666971,677950,682998,"53.53",0.009,0.008,"0",1,0,0,3,41,3,"Knuckle Curve",0,2,0,2,2,0,0,2,"Standard","Standard",40,"-0.035","-0.228"
"FF","2023-09-24","95.4","1.76","6.43","Walker, Christian",572233,607074,"single","hit_into_play",,,,,4,"Christian Walker singles on a fly ball to center fielder Estevan Florial.   Tommy Pham to 2nd.","R","R","L","NYY","AZ","X",8,"fly_ball",3,2,2023,"0.15","1.75","-0.64","2.46",,,502054,0,7,"Top",120.19,106.33,,,669224,,,-6.654889603762211,-138.4648593388577,-8.583143541004668,3.6829101262385135,36.95607325612243,-7.964099583746759,"3.43","1.59",225,"68.6",38,"94.4",2214,"6.3",716458,607074,669224,518934,650402,672724,683011,643396,664314,665828,"54.18",0.603,0.595,"0.9",1,1,0,3,45,9,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",151,"-0.03","0.585"
"CU","2023-09-24","79.8","-3.14","5.76","Lawlar, Jordan",691783,681190,"field_out","hit_into_play",,,,,9,"Jordan Lawlar flies out to shortstop Anthony Volpe.","R","R","R","NYY","AZ","X",6,"fly_ball",2,2,2023,"1.34","-0.21","0.79","1.93",,,,0,9,"Top",114.6,121.33,,,669224,,,6.082979352921414,-115.96701812616506,-1.208584122047864,10.73939930615186,24.436848363087645,-34.030225610884884,"3.47","1.59",199,"67",46,"78.9",3047,"6.1",716458,681190,669224,518934,650402,672724,683011,665828,664314,641343,"54.44",0.306,0.323,"0",1,0,0,3,66,5,"Curveball",0,6,6,0,6,0,6,0,"Standard","Standard",59,"0","-0.214"
"CH","2023-09-24","82.7","1.97","6.35","Longoria, Evan",446334,607074,"field_out","hit_into_play",,,,,6,"Evan Longoria flies out sharply to left fielder Isiah Kiner-Falefa.","R","R","L","NYY","AZ","X",7,"fly_ball",2,1,2023,"1.06","0.12","0.4","2.79",,,,0,5,"Top",68.36,79.49,,,669224,,,-5.6032365924641665,-120.3247109408027,-1.8136300625593555,11.409151750428002,25.52738799606098,-30.8492296225497,"3.65","1.73",328,"101.6",49,"82",1526,"6.1",716458,607074,669224,518934,650402,672724,683011,643396,664314,665828,"54.45",0.026,0.034,"0",1,0,0,3,31,4,"Changeup",0,2,2,0,2,0,2,0,"Standard","Standard",130,"0.017","-0.281"
"FF","2023-09-24","93.4","1.89","6.45","Gurriel Jr., Lourdes",666971,607074,"field_out","hit_into_play",,,,,11,"Lourdes Gurriel Jr.  flies out to right fielder Oswaldo Cabrera in foul territory.","R","R","L","NYY","AZ","X",9,"fly_ball",0,1,2023,"0.5","1.56","-0.05","3.78",,,,2,4,"Top",210.32,124.07,,,669224,,,-6.099619677254622,-135.8483348775146,-4.5209354362152485,7.5588028791159765,32.52944564303642,-12.094342015209563,"3.63","1.72",279,"84.8",44,"93.1",2101,"6.3",716458,607074,669224,518934,650402,672724,683011,643396,664314,665828,"54.18",0.014,0.016,"0",1,0,0,3,27,2,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",152,"0.009","-0.089"
"CU","2023-09-24","79.6","-2.98","5.84","Carroll, Corbin",682998,681190,"double","hit_into_play",,,,,4,"Corbin Carroll doubles (28) on a fly ball to third baseman Oswald Peraza.","R","L","R","NYY","AZ","X",5,"fly_ball",2,2,2023,"1.15","-0.48","-0.42","2.55",,,,0,8,"Top",68.81,137.88,,,669224,,,3.468122802489254,-115.88148561597,0.5323956522625113,9.509444654063076,24.35234103343743,-36.84428313395945,"3.19","1.54",196,"64.7",37,"79.4",3027,"6.4",716458,681190,669224,518934,650402,672724,683011,665828,664314,641343,"54.08",0.629,0.568,"1.25",1,1,1,4,55,6,"Curveball",0,5,5,0,5,0,5,0,"Standard","Standard",52,"-0.004","0.657"
"ST","2023-09-24","79.4","-3.07","5.77","Moreno, Gabriel",672515,681190,"field_out","hit_into_play",,,,,14,"Gabriel Moreno flies out to second baseman Gleyber Torres.","R","R","R","NYY","AZ","X",4,"fly_ball",2,2,2023,"1.35","-0.14","0.8","0.8",691783,677950,,2,7,"Top",148.37,126.51,,,669224,,,5.932895131237284,-115.452342584016,-3.7279263651821184,10.615065532168325,25.482210598662117,-32.83269870928926,"3.37","1.57",192,"72.1",52,"79",2843,"6.4",716458,681190,669224,518934,650402,672724,683011,643396,664314,665828,"54.05",0.111,0.123,"0",1,0,0,3,51,9,"Sweeper",0,5,5,0,5,0,5,0,"Standard","Strategic",56,"0.006","-0.415"
"FF","2023-09-24","93.8","1.65","6.56","Lawlar, Jordan",691783,607074,"field_out","hit_into_play",,,,,4,"Jordan Lawlar flies out to center fielder Estevan Florial.","R","R","L","NYY","AZ","X",8,"fly_ball",2,0,2023,"0.31","1.7","-0.39","2.46",,,,1,2,"Top",152.9,55.76,,,669224,,,-5.958155994766993,-136.30212329588102,-8.611850480220303,5.14340201098834,30.833945148176454,-9.245574803906226,"3.47","1.59",361,"99.1",39,"93.8",2227,"6.4",716458,607074,669224,518934,650402,672724,683011,643396,664314,665828,"54.06",0.134,0.25,"0",1,0,0,3,11,3,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",156,"0.012","-0.235"
