,Season,Division,oppW%,schedulerank
0,2023,NL West,0.5022853375063068,0.5016093454433613
1,2023,NL Central,0.501858904632209,0.49953388787064534
2,2023,NL East,0.5049080251173643,0.5014499246948504
3,2023,AL West,0.49569212389037,0.49927281924105965
4,2023,AL Central,0.4906090572846697,0.4939321846432473
5,2023,AL East,0.5046235471982471,0.505268519146972
6,2022,NL West,0.5026596555403134,0.5033978439172062
7,2022,NL Central,0.4935756744398714,0.49317540638828145
8,2022,NL East,0.5019051973784479,0.5030400220738415
9,2022,AL West,0.49959609815576833,0.503921006949002
10,2022,AL Central,0.4946044810242335,0.49370878537651974
11,2022,AL East,0.5076588934613622,0.5090962134795636
12,2021,NL West,0.5000676404236966,0.5073283298560485
13,2021,NL Central,0.4935814018655309,0.49359098477461244
14,2021,NL East,0.48930992567600134,0.499417192378748
15,2021,AL West,0.5076603608183492,0.5033947689821052
16,2021,AL Central,0.5008230452674892,0.4955347611152767
17,2021,AL East,0.5073230580476953,0.5071678987325166
18,2020,NL West,0.5111111111111108,0.5135079719199591
19,2020,NL Central,0.4905363984674328,0.49226337651469
20,2020,NL East,0.4955555555555554,0.4984619173707829
21,2020,AL West,0.4888888888888886,0.4882452734999784
22,2020,AL Central,0.5027969348659003,0.5064606343450435
23,2020,AL East,0.5044444444444443,0.5036757465009805
24,2019,NL West,0.5059975613473551,0.5058435507869484
25,2019,NL Central,0.5057076400071565,0.5062329022862272
26,2019,NL East,0.5031308191354706,0.5028870512393624
27,2019,AL West,0.5020605952167944,0.5023626310076337
28,2019,AL Central,0.48589723199671264,0.4863870811751355
29,2019,AL East,0.49597158439527333,0.49835016471019394
30,2018,NL West,0.5075491840609448,0.508324067025737
31,2018,NL Central,0.5020953178256027,0.5018974108526459
32,2018,NL East,0.4990879866684878,0.49861810428295106
33,2018,AL West,0.5074191892415019,0.50803014321539
34,2018,AL Central,0.4843145157185,0.4878470168676163
35,2018,AL East,0.5007683743861946,0.5007112039511954
36,2017,NL West,0.5011736015851238,0.49921452822800766
37,2017,NL Central,0.49813290656912007,0.5004964475907419
38,2017,NL East,0.49139612863892645,0.492930082642257
39,2017,AL West,0.5021414418533754,0.5026350755363083
40,2017,AL Central,0.5019051973784479,0.5024911013808799
41,2017,AL East,0.5052507239750033,0.5072632200127971
42,2016,NL West,0.49366513588198985,0.5000968145711946
43,2016,NL Central,0.497839766510369,0.5014380397536059
44,2016,NL East,0.4934801542334191,0.49249125565305396
45,2016,AL West,0.5052197201418882,0.5031893112956436
46,2016,AL Central,0.5000530141879216,0.49713936580223284
47,2016,AL East,0.5074264357141433,0.5092492947153382
48,2015,NL West,0.49288218259411626,0.4953112813669061
49,2015,NL Central,0.5038123354548469,0.49938111811772
50,2015,NL East,0.48749428440786424,0.48965052376237395
51,2015,AL West,0.5021355724254271,0.5054090405565655
52,2015,AL Central,0.5080567365412592,0.5040115043128357
53,2015,AL East,0.5043843206752487,0.5107363698251213
54,2014,NL West,0.49170858100899206,0.49417161630799084
55,2014,NL Central,0.49879591525682,0.4955498843108055
56,2014,NL East,0.4974089315653097,0.5006080355189937
57,2014,AL West,0.5042219173906412,0.509841580438706
58,2014,AL Central,0.5022938576436513,0.5006285517361465
59,2014,AL East,0.5055707971345826,0.5036868949821971
60,2013,NL West,0.49941118881511154,0.49475926974865514
61,2013,NL Central,0.5020733690341602,0.5040512786901732
62,2013,NL East,0.494777795544035,0.49204193790024586
63,2013,AL West,0.49723655211170614,0.5011271405394154
64,2013,AL Central,0.4982815820946039,0.5007566935212386
65,2013,AL East,0.5094540803016144,0.5077468100971556
66,2012,NL West,0.4970126505105926,0.499925472852647
67,2012,NL Central,0.4885116598079556,0.49258120527964544
68,2012,NL East,0.5006782502667273,0.5019199193124271
69,2012,AL West,0.5089639536655993,0.5083330725897945
70,2012,AL Central,0.49686023472031665,0.4978459638124669
71,2012,AL East,0.512063709800335,0.5111308885522112
72,2011,NL West,0.4960681459518456,0.4960674470717448
73,2011,NL Central,0.4950894819535597,0.49439179542750705
74,2011,NL East,0.5037195132918872,0.5027275156719936
75,2011,AL West,0.502391377715675,0.5031352763087358
76,2011,AL Central,0.4967160077287109,0.49363452421822995
77,2011,AL East,0.5062412846095076,0.507422631742775
78,2010,NL West,0.5004724889498549,0.504220639398498
