,year,wavgwRC+,medianwRC+
0,1962.0,94.94315381907779,81.0
1,1963.0,97.67902089101433,91.0
2,1964.0,100.61173368490442,88.0
3,1965.0,103.17169860855867,87.0
4,1966.0,105.41505038150154,87.0
5,1967.0,102.08967633928572,92.5
6,1968.0,95.5613322502031,86.5
7,1969.0,96.69117005285361,90.0
8,1970.0,104.01915551915552,90.0
9,1971.0,101.73282223287013,87.5
10,1972.0,95.75722149707734,83.5
11,1973.0,104.80515669217063,96.5
12,1974.0,98.24455128205126,78.0
13,1975.0,96.94751457928353,82.0
14,1976.0,99.62248870892385,81.0
15,1977.0,100.47478949478749,87.5
16,1978.0,100.16112084063047,90.0
17,1979.0,100.3109739242606,88.5
18,1980.0,96.65088483276196,83.0
19,1981.0,102.33206306508258,80.0
20,1982.0,103.1855085926614,94.0
21,1983.0,100.49039999999998,80.5
22,1984.0,97.58740905416327,83.0
23,1985.0,104.29474753069324,89.0
24,1986.0,101.7219222462203,88.0
25,1987.0,102.488734200403,85.0
26,1988.0,98.84480276418081,83.0
27,1989.0,100.04152542372881,85.0
28,1990.0,95.42567002704696,83.0
29,1991.0,101.50862555946638,89.0
30,1992.0,99.43858237910476,91.0
31,1993.0,97.86711197776211,89.0
32,1994.0,95.38692098092643,82.5
33,1995.0,100.23497829030302,86.0
34,1996.0,97.00514306706398,84.0
35,1997.0,98.56050142951398,92.0
36,1998.0,98.26732632784069,85.0
37,1999.0,95.4244616009752,81.5
38,2000.0,93.47900881397865,83.5
39,2001.0,96.93417317936157,83.5
40,2002.0,92.85295429660569,86.0
41,2003.0,89.31377644389136,76.0
42,2004.0,98.4535442898572,87.0
43,2005.0,97.78841661014395,90.0
44,2006.0,102.33876628878042,92.0
45,2007.0,97.86455632521961,81.0
46,2008.0,99.29169610650405,90.5
47,2009.0,97.4883235579864,81.5
48,2010.0,97.09253827299396,88.0
49,2011.0,91.83155933053793,81.0
50,2012.0,100.14697692160976,85.5
51,2013.0,96.55536041539402,81.0
52,2014.0,100.44381461817892,95.0
53,2015.0,101.4531651393735,93.0
54,2016.0,106.16685263706019,93.0
55,2017.0,101.65946459084866,92.0
56,2018.0,102.66111996442204,83.0
57,2019.0,105.86528694330235,94.0
58,2020.0,99.61251692179528,90.5
59,2021.0,94.96819443943602,83.0
60,2022.0,101.52290983142892,80.0
