pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,10/1/2023,91.6,-3.73,5.02,"Olivares, Edward",658668,669711,field_out,hit_into_play,,,,,8,Edward Olivares flies out to right fielder Oswaldo Cabrera.,R,R,R,KC,NYY,X,9,fly_ball,0,0,2023,-1.26,0.3,-0.11,2.03,,,,0,8,Bot,177.47,92.07,,,669224,,,11.675893387854506,-133.0043931,-2.339520732,-17.26387855,25.57081910093773,-28.34811544,3.6,1.73,295,89.8,45,90.9,1999,5.8,716352,669711,669224,518934,672724,643396,683011,677592,664314,665828,54.74,0.011,0.015,0,1,0,0,3,64,1,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,245,-0.003,-0.238
SI,9/30/2023,91.9,-2.62,5.48,"Torres, Gleyber",650402,679525,field_out,hit_into_play,,,,,4,Gleyber Torres flies out to right fielder Nelson Velazquez.,R,R,R,KC,NYY,X,9,fly_ball,2,2,2023,-1.34,0.47,-0.55,2.35,,,592450,1,5,Top,201.93,109.13,,,682515,,,8.145057383954036,-133.7012919,-3.155863249,-17.75958006,26.280013856015575,-26.01181189,3.13,1.46,291,88.2,38,92.3,2243,6.4,716375,679525,682515,668472,686681,672580,677951,669004,680118,676369,54.13,0.011,0.014,0,1,0,0,3,40,5,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,233,0.037,-0.274
FF,9/30/2023,94.2,2.65,5.27,"Cabrera, Oswaldo",665828,672582,field_out,hit_into_play,,,,,1,Oswaldo Cabrera flies out to right fielder MJ Melendez.,R,R,L,KC,NYY,X,9,fly_ball,0,1,2023,0.81,0.99,-0.66,3.08,650402,683011,543309,1,9,Top,167.7,123.93,,,682515,,,-10.19458207,-136.9504887,-2.246449979,12.177058591935472,24.90399128123174,-19.29878673,3.21,1.52,217,70.7,48,93.2,1982,5.4,716375,672582,682515,668472,686681,672580,677951,658668,680118,669004,55.13,0.183,0.19,0,1,0,0,3,79,2,4-Seam Fastball,2,5,5,2,5,2,5,2,Standard,Standard,124,0.01,-0.304
ST,9/30/2023,86.8,-1.85,5.31,"Perez, Salvador",521692,657376,home_run,hit_into_play,,,,,6,Salvador Perez homers (23) on a fly ball to left field.,R,R,R,KC,NYY,X,,fly_ball,2,2,2023,0.68,0.37,0.53,2.45,,,,1,3,Bot,22.29,79.69,,,543309,,,4.3166192350343495,-126.4522005,-1.519477437,6.638895650879062,21.916067254545734,-28.11499359,3.55,1.62,389,100.1,36,87.5,2939,6.3,716375,657376,543309,641343,650402,518934,672724,677592,664314,665828,54.15,0.329,0.648,2,1,0,3,5,23,5,Sweeper,1,0,1,0,0,2,2,0,Standard,Standard,117,0.104,1.021
FF,9/30/2023,94.2,2.56,5.24,"Judge, Aaron",592450,672582,field_out,hit_into_play,,,,,4,Aaron Judge flies out sharply to center fielder Dairon Blanco.,R,R,L,KC,NYY,X,8,fly_ball,0,2,2023,0.84,0.94,-0.47,2.72,,,,2,8,Top,123.05,51.37,,,682515,,,-9.550145092,-136.8739569,-2.913902392,12.549864713740982,27.997513913333997,-19.92093064,3.92,1.82,366,101.7,23,93,1960,5.5,716375,672582,682515,668472,686681,672580,677951,658668,680118,669004,55.03,0.611,0.946,0,1,0,0,6,69,4,4-Seam Fastball,2,5,5,2,5,2,5,2,Standard,Standard,119,0.003,-0.065
FF,9/30/2023,94.9,-2.37,5.69,"Judge, Aaron",592450,679525,field_out,hit_into_play,,,,,7,Aaron Judge flies out sharply to center fielder Drew Waters.,R,R,R,KC,NYY,X,8,fly_ball,0,0,2023,-0.69,1.21,-0.33,2.06,518934,,,2,3,Top,158.79,45.89,,,682515,,,6.841030513575649,-138.105925,-6.576873077,-10.31355226,27.136930759353262,-15.43475822,3.92,1.82,386,100.2,34,94.9,2536,6,716375,679525,682515,668472,686681,672580,677951,669004,671221,676369,54.5,0.377,0.715,0,1,0,0,5,21,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,222,0.042,-0.355
ST,9/30/2023,86.6,-2.27,5.62,"LeMahieu, DJ",518934,679525,triple,hit_into_play,,,,,11,DJ LeMahieu triples (3) on a sharp fly ball to center fielder Drew Waters.,R,R,R,KC,NYY,X,8,fly_ball,2,2,2023,0.82,-0.03,-0.25,3.4,,,,2,3,Top,89.03,37.74,,,682515,,,3.1331812199464584,-126.1913258,0.9328159413716477,8.225164587,24.49258546026792,-32.89969803,3.21,1.49,407,104.2,28,86.6,2597,6.1,716375,679525,682515,668472,686681,672580,677951,669004,671221,676369,54.4,0.877,1.717,1.6,1,1,2,6,20,5,Sweeper,1,0,0,1,0,1,0,1,Standard,Standard,47,-0.03,0.288
FC,9/30/2023,91.7,-1.6,5.55,"Pratto, Nick",668472,657376,field_out,hit_into_play,,,,,6,Nick Pratto flies out to center fielder Estevan Florial.   Drew Waters to 3rd.,R,L,R,KC,NYY,X,8,fly_ball,1,0,2023,0.2,0.45,0.54,2.64,,671221,,1,2,Bot,89.34,61.11,,,543309,,,4.934892827162014,-133.6611868,-2.568839426,1.5343109953498573,24.026365514269717,-26.39848313,3.41,1.62,352,98.3,41,91.6,2849,5.8,716375,657376,543309,641343,650402,518934,672724,677592,664314,665828,54.74,0.077,0.136,0,1,0,0,3,16,2,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,170,-0.026,-0.398
SI,9/30/2023,92.6,-1.77,5.33,"Porter, Logan",682515,657376,field_out,hit_into_play,,,,,5,Logan Porter flies out to right fielder Oswaldo Cabrera.,R,R,R,KC,NYY,X,9,fly_ball,0,0,2023,-0.3,0.54,0.11,2.26,,671221,,0,2,Bot,199.94,122.03,,,543309,,,5.547531858,-134.9478541,-3.35839592,-4.737649982,24.188100906418267,-25.08504008,3.16,1.46,264,88.9,47,94.9,2690,7.1,716375,657376,543309,641343,650402,518934,672724,677592,664314,665828,53.36,0.006,0.007,0,1,0,0,3,15,1,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,207,-0.037,-0.363
FF,9/30/2023,93.2,2.72,5.27,"Pereira, Everson",677592,672582,field_out,hit_into_play,,,,,12,Everson Pereira flies out to right fielder MJ Melendez in foul territory.,R,R,L,KC,NYY,X,9,fly_ball,0,0,2023,0.85,1.06,0.92,2.84,,543309,,2,7,Top,198.96,135.41,,,682515,,,-6.356913799,-135.7319141,-2.819011237,11.804310980313128,27.869960648118322,-18.58241133,3.25,1.5,239,91.3,56,91.9,1949,5.3,716375,672582,682515,668472,686681,672580,677951,658668,680118,669004,55.2,0.023,0.031,0,1,0,0,3,63,1,4-Seam Fastball,2,5,5,2,5,2,5,2,Standard,Standard,120,0.015,-0.327
