,year,wavgwRC+,medianwRC+
0,1962.0,111.29873130479628,100.0
1,1963.0,110.53202942022435,97.0
2,1964.0,108.67132436042328,96.0
3,1965.0,108.4924104950791,97.0
4,1966.0,109.35549565738245,94.0
5,1967.0,109.69685343119878,95.0
6,1968.0,112.31081781656371,99.5
7,1969.0,110.2856841994419,94.0
8,1970.0,111.62626158066351,96.0
9,1971.0,108.95227237660933,94.5
10,1972.0,109.71836094685735,99.5
11,1973.0,107.09552339279703,95.0
12,1974.0,108.27402153566094,97.0
13,1975.0,107.26461559335831,98.0
14,1976.0,106.70548242683415,94.0
15,1977.0,109.17671840007517,97.0
16,1978.0,107.35627894797139,99.0
17,1979.0,108.5554519437924,98.5
18,1980.0,107.78436226888124,97.0
19,1981.0,107.20610648876895,93.0
20,1982.0,105.72071439321728,99.0
21,1983.0,103.88228056465425,96.0
22,1984.0,108.32323232323233,101.0
23,1985.0,105.24529164829062,95.0
24,1986.0,105.04113888214835,95.0
25,1987.0,106.85220710894392,96.0
26,1988.0,104.85114941600298,92.5
27,1989.0,104.52707111316154,95.0
28,1990.0,105.38230680581343,96.0
29,1991.0,104.9542312542903,95.0
30,1992.0,103.81452544439453,92.0
31,1993.0,103.20095225381569,90.0
32,1994.0,104.61772456099668,93.0
33,1995.0,104.0502878316681,92.0
34,1996.0,105.01905207860811,92.0
35,1997.0,103.01667724367962,91.0
36,1998.0,103.6798912593492,92.0
37,1999.0,103.99940600350871,92.0
38,2000.0,103.74722177047758,92.0
39,2001.0,105.81227158007971,90.0
40,2002.0,106.64406521618778,95.0
41,2003.0,106.68622971040904,93.5
42,2004.0,103.90741070084957,92.0
43,2005.0,102.78553840194778,93.0
44,2006.0,102.48436345727654,93.0
45,2007.0,102.47630929724396,92.0
46,2008.0,103.25708717466725,93.0
47,2009.0,102.36779015848846,92.0
48,2010.0,103.48330053375996,92.0
49,2011.0,103.98664642107056,92.0
50,2012.0,104.53966820430168,91.5
51,2013.0,102.29562013114388,92.0
52,2014.0,102.83266530296328,87.0
53,2015.0,103.20263977333296,93.0
54,2016.0,99.8290702677196,88.0
55,2017.0,101.35020056413092,88.0
56,2018.0,102.49120232574238,91.0
57,2019.0,102.01105801141642,89.5
58,2020.0,100.74018954820538,88.0
59,2021.0,100.35045945870458,90.0
60,2022.0,100.5998553315773,88.0
