pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,9/28/2023,82.1,-0.52,6.48,"Jeffers, Ryan",680777,666204,field_out,hit_into_play,,,,,13,Ryan Jeffers flies out to left fielder JJ Bleday.,R,R,R,MIN,OAK,X,7,fly_ball,1,0,2023,-0.03,0.21,-0.35,1.43,,670242,,1,8,Bot,45.69,87.46,,,669127,,,0.43073593892294204,-119.5394169,-5.236949651,-0.36835751,24.366850086126988,-29.35867561,3.26,1.55,338,91.6,39,81.3,2295,5.9,716400,666204,669127,676116,680869,649557,669397,668709,671732,665923,54.64,0.031,0.051,0,1,0,0,3,64,2,Slider,1,2,1,2,2,1,1,2,Standard,Standard,275,-0.097,-0.398
FF,9/27/2023,91.7,-1.78,6.12,"Jeffers, Ryan",680777,683155,field_out,hit_into_play,,,,,11,Ryan Jeffers flies out sharply to left fielder JJ Bleday.,R,R,R,MIN,OAK,X,7,fly_ball,0,2,2023,-0.61,1.26,-0.21,3.44,,,,0,4,Bot,80.12,109.84,,,691016,,,5.258827637920151,-133.4635828,-3.625471355,-8.424391266,29.26633673605734,-16.5224926,3.26,1.55,250,102.1,52,91.2,2312,6,716410,683155,691016,676116,680869,672478,669397,668709,671732,664913,54.51,0.02,0.028,0,1,0,0,3,31,3,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,217,-0.02,-0.152
FC,9/27/2023,86.2,-2.18,5.9,"Farmer, Kyle",571657,683155,double,hit_into_play,,,,,5,Kyle Farmer doubles (14) on a fly ball to right fielder Seth Brown.   Willi Castro scores.,R,R,R,MIN,OAK,X,9,fly_ball,3,1,2023,0.03,0.58,-0.1,2.72,,650489,,1,2,Bot,192.06,126.37,,,691016,,,4.85750815,-125.4953846,-2.513278447,-0.64501231,24.741199637632356,-25.77001327,3.4,1.56,244,74.6,31,85.8,2567,6,716410,683155,691016,676116,680869,672478,669397,668709,671732,664913,54.54,0.314,0.283,1.25,1,1,1,3,16,5,Cutter,1,0,1,0,0,2,2,0,Standard,Standard,175,0.091,0.872
CH,9/27/2023,91,-2.3,6.22,"Polanco, Jorge",593871,668674,field_out,hit_into_play,,,,,13,Jorge Polanco flies out to center fielder Lawrence Butler.   Christian Vazquez to 3rd.,R,L,R,MIN,OAK,X,8,fly_ball,1,2,2023,-1.31,0.69,-1,2.3,,543877,666397,0,7,Bot,118.6,57.55,,,691016,,,6.085700094587376,-132.3239195,-5.445924705,-16.69776618,27.516238142725122,-23.08101996,3.32,1.63,351,93.9,26,91.4,2063,6.5,716410,668674,691016,676116,680869,672478,669397,649557,671732,668709,53.96,0.177,0.223,0,1,0,0,3,59,4,Changeup,4,4,4,4,4,4,4,4,Standard,Standard,235,-0.018,-0.291
CU,9/27/2023,80.1,2.58,6.35,"Jeffers, Ryan",680777,666205,home_run,hit_into_play,,,,,7,Ryan Jeffers homers (13) on a fly ball to left field.   Max Kepler scores.,R,R,L,MIN,OAK,X,,fly_ball,0,2,2023,-0.73,-0.77,-0.33,1.8,,,596146,2,6,Bot,31.87,80.61,,,691016,,,-5.076817626,-116.5738652,-1.858711354,-5.675183996,22.815718296188987,-39.06716169,3.26,1.55,377,101,36,80.3,2364,6.5,716410,666205,691016,676116,680869,672478,669397,649557,671732,668709,53.96,0.377,0.721,2,1,0,3,5,51,5,Curveball,2,4,2,4,4,4,4,4,Standard,Standard,320,0.307,1.949
FF,9/27/2023,94.8,0.55,6.03,"Rooker, Brent",667670,573204,single,hit_into_play,,,,,4,Brent Rooker singles on a fly ball to right fielder Max Kepler.   Ryan Noda scores.    Aledmys Diaz scores.,R,R,L,MIN,OAK,X,9,fly_ball,3,2,2023,0.5,1.65,-0.58,2.88,676116,649557,,2,5,Top,156.77,109.78,,,543877,,,-4.068564447,-137.8706319,-6.261611873,7.235043388912271,30.93591703216054,-9.928512345,3.63,1.71,229,69.8,36,95,2318,6.5,716410,573204,543877,456781,666397,593871,571657,670242,650489,596146,54.01,0.623,0.619,0.9,1,1,0,3,39,7,4-Seam Fastball,2,2,2,2,4,2,4,2,Standard,Standard,157,-0.229,1.508
FF,9/27/2023,93.4,-1.82,6.16,"Polanco, Jorge",593871,683155,field_out,hit_into_play,,,,,1,Jorge Polanco flies out sharply to right fielder Seth Brown.,R,L,R,MIN,OAK,X,9,fly_ball,2,2,2023,-0.91,1.1,-0.42,3.08,,,,0,1,Bot,200.96,100.4,,,691016,,,5.591438708441348,-135.8940776,-4.601149369,-12.46810452,30.010192579659474,-17.76954362,3.32,1.63,306,100.3,48,93.2,2415,6.2,716410,683155,691016,676116,680869,672478,669397,668709,671732,664913,54.33,0.02,0.026,0,1,0,0,3,7,6,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,215,-0.019,-0.214
SL,9/27/2023,80.9,-0.99,6.53,"Larnach, Trevor",663616,666204,double,hit_into_play,,,,,5,Trevor Larnach doubles (7) on a fly ball to right fielder Esteury Ruiz.   Andrew Stevenson scores.,R,L,R,MIN,OAK,X,9,fly_ball,1,1,2023,0.15,0.15,-0.25,2.56,,,664057,0,8,Bot,205.25,98.86,,,691016,,,1.3371525368955715,-117.8628955,-2.517040661,1.1834493216362554,21.528531779123078,-30.51391111,3.68,1.78,355,92.8,31,80,2234,5.5,716410,666204,691016,676116,680869,672478,669397,649557,671732,665923,54.98,0.146,0.238,1.25,1,1,1,3,65,3,Slider,4,4,4,4,4,5,5,4,Standard,Standard,202,0.24,1.097
FC,9/27/2023,84.8,1.14,6.26,"Ruiz, Esteury",665923,572971,single,hit_into_play,,,,,13,Esteury Ruiz singles on a fly ball to shortstop Kyle Farmer.,R,R,L,MIN,OAK,X,6,fly_ball,0,1,2023,0.02,0.72,-1.17,2.13,,,,1,8,Top,109.2,120.86,,,543877,,,-5.39512497,-123.459677,-4.761783875,1.2651989773530155,23.794745210733325,-24.08846916,3.19,1.56,193,60.4,32,84.3,2224,5.9,716410,572971,543877,456781,666397,593871,571657,656669,650489,596146,54.61,0.52,0.468,0.9,1,1,0,4,62,2,Cutter,4,4,4,4,4,4,4,4,Infield shade,Standard,156,-0.049,0.289
FF,9/27/2023,93.4,-1.81,6.11,"Julien, Edouard",666397,683155,home_run,hit_into_play,,,,,6,Edouard Julien homers (15) on a fly ball to right field.,R,L,R,MIN,OAK,X,,fly_ball,0,0,2023,-0.92,1.31,0.3,2.49,,,,0,1,Bot,209.46,81.81,,,691016,,,7.472330164811953,-135.6897831,-6.444474505,-13.00216636,29.11155555624956,-14.76360969,3.34,1.68,355,103.5,32,93.5,2363,6.4,716410,683155,691016,676116,680869,672478,669397,668709,671732,664913,54.1,0.634,1.243,2,1,0,3,6,6,1,4-Seam Fastball,0,0,0,0,0,1,1,0,Standard,Standard,218,0.102,1
