,year,wavgwRC+,medianwRC+
0,1962.0,91.3597972972973,83.0
1,1963.0,93.50256807148385,76.0
2,1964.0,89.72597688107224,71.0
3,1965.0,83.67187830128883,72.0
4,1966.0,88.52346990757587,76.0
5,1967.0,81.25602253354087,71.0
6,1968.0,88.4574355351466,75.0
7,1969.0,82.01340383669454,72.0
8,1970.0,93.9074074074074,78.0
9,1971.0,90.80137955429782,81.0
10,1972.0,90.67663459770819,71.0
11,1973.0,89.75030909626139,74.0
12,1974.0,92.79146057194838,75.0
13,1975.0,93.3559498352887,77.5
14,1976.0,89.787675975075,82.0
15,1977.0,97.42821971769341,83.0
16,1978.0,92.8869179600887,81.0
17,1979.0,92.36862139917696,81.0
18,1980.0,90.60272565031637,79.0
19,1981.0,91.70943735688584,77.5
20,1982.0,92.29560904937033,75.5
21,1983.0,90.4862344083605,78.0
22,1984.0,88.7069653948536,78.0
23,1985.0,90.48292326704866,83.0
24,1986.0,89.42230215827337,80.5
25,1987.0,80.88495919160513,62.5
26,1988.0,88.10398131672598,78.5
27,1989.0,85.03571030640667,77.0
28,1990.0,90.42966106246979,78.0
29,1991.0,84.52722392638037,69.5
30,1992.0,87.73094688221707,77.0
31,1993.0,91.50083420229406,71.0
32,1994.0,87.20231173864896,83.0
33,1995.0,87.25075066234915,75.5
34,1996.0,87.77313798560417,76.0
35,1997.0,91.41284785435631,75.0
36,1998.0,85.83325190541333,78.0
37,1999.0,87.03031882135582,74.0
38,2000.0,89.72794995463443,76.0
39,2001.0,82.22660918977172,72.0
40,2002.0,81.72693328092758,77.0
41,2003.0,88.13828795683102,75.0
42,2004.0,86.66069075851685,74.0
43,2005.0,84.38320610687023,71.0
44,2006.0,89.0649466192171,77.0
45,2007.0,83.76956874731361,75.0
46,2008.0,86.88400794401363,71.0
47,2009.0,87.73418445121952,76.5
48,2010.0,88.99616784824678,78.0
49,2011.0,92.02003526991282,77.0
50,2012.0,94.81531343974093,81.0
51,2013.0,91.89292229113462,78.0
52,2014.0,93.12014995313963,76.0
53,2015.0,84.95768395657419,81.0
54,2016.0,87.08500883518792,78.0
55,2017.0,88.88445159458693,84.0
56,2018.0,83.57590643274855,72.0
57,2019.0,85.01815196998123,75.0
58,2020.0,89.43158035953851,84.0
59,2021.0,88.5753294324723,80.0
60,2022.0,88.37897433551399,71.5
