,year,wavgwRC+,medianwRC+
0,1962.0,114.26444783520886,104.0
1,1963.0,108.6970024165767,98.0
2,1964.0,109.45124313007065,94.0
3,1965.0,109.91115235167895,87.0
4,1966.0,110.71638882875081,95.0
5,1967.0,106.9436428980676,93.0
6,1968.0,109.20422535211267,96.0
7,1969.0,112.46622040411553,100.0
8,1970.0,107.55626081938834,91.0
9,1971.0,108.46892350400987,93.5
10,1972.0,108.4554420725025,104.0
11,1973.0,105.59450888759075,92.0
12,1974.0,108.42305836951277,98.0
13,1975.0,108.26570988772185,96.0
14,1976.0,107.1485131169798,94.0
15,1977.0,111.93511585055083,101.0
16,1978.0,108.93226883320595,99.0
17,1979.0,109.45196280991736,102.0
18,1980.0,108.67174920712368,97.0
19,1981.0,109.36021146016893,93.0
20,1982.0,106.09871869539894,96.0
21,1983.0,99.66698537906856,95.0
22,1984.0,112.980890654401,102.0
23,1985.0,106.82430558473757,102.0
24,1986.0,105.92030167142275,97.0
25,1987.0,109.4976385458642,96.0
26,1988.0,106.09745908699395,95.0
27,1989.0,102.08936248392429,88.0
28,1990.0,102.50718803910294,95.0
29,1991.0,108.58910394818014,97.5
30,1992.0,100.99588512281,90.0
31,1993.0,99.08696601411833,83.5
32,1994.0,107.10140534582527,92.0
33,1995.0,108.22274265921436,92.5
34,1996.0,105.68289881304604,96.0
35,1997.0,108.8866703770697,92.5
36,1998.0,107.55547478104339,94.0
37,1999.0,107.46698043829974,89.0
38,2000.0,106.80719826638611,93.5
39,2001.0,109.09735385033461,90.0
40,2002.0,107.04621562511205,95.0
41,2003.0,105.09233342435827,90.0
42,2004.0,103.70220184671014,89.0
43,2005.0,103.99435048197451,97.0
44,2006.0,104.40070038386425,97.5
45,2007.0,106.87544119321416,97.5
46,2008.0,105.2428952854687,95.0
47,2009.0,102.6994038494294,87.0
48,2010.0,107.62570057388326,95.0
49,2011.0,109.61134803035779,96.5
50,2012.0,104.15236707421096,91.0
51,2013.0,104.73679763413604,95.0
52,2014.0,100.41376456796084,83.0
53,2015.0,107.7131312378966,93.0
54,2016.0,101.18353804884934,91.0
55,2017.0,103.10887264740411,87.0
56,2018.0,106.0750644222081,98.0
57,2019.0,106.8481008524119,94.0
58,2020.0,100.6818667963053,88.5
59,2021.0,104.35485891235517,91.0
60,2022.0,101.26427128062642,86.5
