,year,wavgwRC+,medianwRC+
0,1962.0,110.56577255190153,100.0
1,1963.0,114.51492502883504,101.0
2,1964.0,109.27793113467965,94.0
3,1965.0,106.60988443570199,89.0
4,1966.0,106.50389239485926,86.0
5,1967.0,112.01828664084316,95.0
6,1968.0,114.7090514048689,96.0
7,1969.0,106.23006797909545,91.5
8,1970.0,116.18925342892769,96.0
9,1971.0,109.33895783580628,91.0
10,1972.0,110.65043392238859,96.0
11,1973.0,107.69036965372678,95.0
12,1974.0,108.74163309575455,91.0
13,1975.0,106.36184868775494,93.0
14,1976.0,107.07050217477264,97.0
15,1977.0,107.71916548797735,95.5
16,1978.0,107.02155172413792,105.0
17,1979.0,107.22569848661233,96.5
18,1980.0,108.25282739255908,99.5
19,1981.0,108.71986863711001,95.0
20,1982.0,107.29370602184815,101.0
21,1983.0,108.61645548516172,101.5
22,1984.0,103.57893630439352,94.0
23,1985.0,103.81909438079651,94.0
24,1986.0,104.40824645575556,94.0
25,1987.0,106.207914369121,96.0
26,1988.0,101.34671477402203,86.0
27,1989.0,108.1223766364552,97.0
28,1990.0,106.80760450848909,96.0
29,1991.0,101.99052204001804,91.5
30,1992.0,100.97038308030884,86.5
31,1993.0,105.51734938063065,89.0
32,1994.0,101.01644371596257,88.0
33,1995.0,102.82786354107108,91.0
34,1996.0,104.23334657661236,92.0
35,1997.0,99.2933655394525,90.0
36,1998.0,98.1721064524228,85.0
37,1999.0,102.9919412030172,89.0
38,2000.0,105.25316263228318,92.0
39,2001.0,105.68512089465115,90.0
40,2002.0,108.66392974892214,90.0
41,2003.0,109.49869070900594,96.0
42,2004.0,107.44566185934457,92.0
43,2005.0,104.12004390176979,90.0
44,2006.0,103.13340876362888,88.0
45,2007.0,102.12350415317474,92.0
46,2008.0,102.90983507884916,91.0
47,2009.0,103.23789401942409,88.5
48,2010.0,99.66289238399791,83.0
49,2011.0,99.2037275701398,89.0
50,2012.0,103.14231222477206,88.5
51,2013.0,98.95957263378287,85.0
52,2014.0,102.25497150094996,84.0
53,2015.0,99.4031445448228,89.0
54,2016.0,96.2977503308337,84.0
55,2017.0,100.16583256101327,87.0
56,2018.0,101.70394381415451,90.0
57,2019.0,101.08243444152723,88.0
58,2020.0,103.06834710743803,88.0
59,2021.0,99.66106230912123,90.0
60,2022.0,100.39325426241662,90.0
