,year,wavgwRC+,medianwRC+
0,1962.0,106.22613996294749,96.0
1,1963.0,105.04754393871113,88.5
2,1964.0,102.11664772387391,93.0
3,1965.0,105.6020642201835,94.0
4,1966.0,109.13204976303318,103.0
5,1967.0,101.20876203119816,95.0
6,1968.0,108.15727618389215,99.0
7,1969.0,104.86054361343045,89.0
8,1970.0,105.9450722045286,90.5
9,1971.0,103.6748928953945,95.0
10,1972.0,104.6440759819704,93.0
11,1973.0,103.67501855976245,90.0
12,1974.0,103.69886363636364,88.5
13,1975.0,101.7587467130187,95.0
14,1976.0,103.48454055095358,88.0
15,1977.0,100.15681856827071,93.0
16,1978.0,98.8612650046168,92.5
17,1979.0,103.02686825447424,95.5
18,1980.0,100.33788596086976,94.5
19,1981.0,100.72407003726883,91.0
20,1982.0,104.37076840408383,98.5
21,1983.0,99.00970873786407,90.0
22,1984.0,105.9509901437743,101.5
23,1985.0,98.82049313583818,90.0
24,1986.0,102.25976615607722,92.5
25,1987.0,103.79955267278015,94.0
26,1988.0,100.0882271595833,85.5
27,1989.0,96.4682196920124,87.0
28,1990.0,102.84050106272329,92.0
29,1991.0,100.10673754377085,90.0
30,1992.0,103.42296748915528,91.0
31,1993.0,98.07600062907918,89.0
32,1994.0,98.12564970385591,86.5
33,1995.0,95.6581164575922,89.0
34,1996.0,97.1695346027249,83.0
35,1997.0,97.35553286735255,87.0
36,1998.0,100.1828418230563,92.0
37,1999.0,95.55805214426839,83.0
38,2000.0,94.4966229482447,81.0
39,2001.0,95.91700119726741,84.5
40,2002.0,100.59949509344844,92.0
41,2003.0,97.62126410648587,82.0
42,2004.0,99.26584328811501,95.0
43,2005.0,97.14310358347055,89.0
44,2006.0,94.09511696920646,84.0
45,2007.0,97.20452550083807,85.5
46,2008.0,97.22930661087253,93.0
47,2009.0,96.05735283255781,93.5
48,2010.0,99.81039804385297,87.0
49,2011.0,100.15529174881495,90.0
50,2012.0,101.4354273080735,89.5
51,2013.0,99.65443526170799,91.0
52,2014.0,103.75850628809506,90.5
53,2015.0,100.42073763165054,93.5
54,2016.0,96.06750788643534,86.0
55,2017.0,100.26557086765723,87.5
56,2018.0,96.60162601626018,86.0
57,2019.0,94.72878787878788,85.0
58,2020.0,96.28057928735154,88.0
59,2021.0,94.3021648657936,79.0
60,2022.0,95.39840144095464,81.0
